date,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,totalPrisesRendezVousSemaine,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2
2020-12-26,,,,,,,,prisesRendezVousSemaineRang2
2020-12-27,,,,,17,,,
2020-12-28,,,,,58,,,
2020-12-29,,,,,106,,,
2020-12-30,,,,,112,,,
2020-12-31,,,,,81,,,
2021-01-01,,,,,52,,,
2021-01-02,,,,,71,,,
2021-01-03,,,,,85,,,
2021-01-04,,,,,1460,,,
2021-01-05,,,,,5325,,,
2021-01-06,,,,,11215,,,
2021-01-07,,,,,28371,,,
2021-01-08,,,,,35798,,,
2021-01-09,,,,,10852,,,
2021-01-10,,,,,5595,,,
2021-01-11,,,,,38588,,,
2021-01-12,,,,,59909,,,
2021-01-13,,,,,62941,,,
2021-01-14,,,,,78981,,,
2021-01-15,,,,,66646,,,
2021-01-16,,,,,19550,,,
2021-01-17,,,,,10424,,,
2021-01-18,,,,,83837,378059,377182,877
2021-01-19,,,,,127436,378059,377182,877
2021-01-20,,,,,133938,378059,377182,877
2021-01-21,,,,,153917,378059,377182,877
2021-01-22,419245,403615,15630,364235,117432,378059,377182,877
2021-01-23,419245,403615,15630,364235,37686,378059,377182,877
2021-01-24,472686,459036,13650,364235,9298,378059,377182,877
2021-01-25,472686,459036,13650,333655,76367,369863,339170,30693
2021-01-26,472686,459036,13650,333655,97946,369863,339170,30693
2021-01-27,472686,459036,13650,333655,105109,369863,339170,30693
2021-01-28,472686,459036,13650,333655,121317,369863,339170,30693
2021-01-29,472686,459036,13650,333655,90225,369863,339170,30693
2021-01-30,472686,459036,13650,333655,28578,369863,339170,30693
2021-01-31,492954,451674,41280,298540,4849,369863,339170,30693
2021-02-01,492954,451674,41280,298540,51224,374145,263308,110837
2021-02-02,492954,451674,41280,298540,69990,374145,263308,110837
2021-02-03,492954,451674,41280,298540,70505,374145,263308,110837
2021-02-04,492954,451674,41280,298540,79771,374145,263308,110837
2021-02-05,492954,451674,41280,298540,66432,374145,263308,110837
2021-02-06,492954,451674,41280,298540,21165,374145,263308,110837
2021-02-07,492954,451674,41280,298540,4804,374145,263308,110837
2021-02-08,492954,451674,41280,298540,45620,421652,252228,169424
2021-02-09,492954,451674,41280,298540,64338,421652,252228,169424
2021-02-10,492954,451674,41280,298540,68557,421652,252228,169424
2021-02-11,492954,451674,41280,298540,84572,421652,252228,169424
2021-02-12,859676,416616,128000,205385,76810,421652,252228,169424
2021-02-13,859676,416616,128000,205385,21491,421652,252228,169424
2021-02-14,859676,416616,128000,205385,4527,421652,252228,169424
2021-02-15,859676,416616,128000,205385,36629,522623,175037,347586
2021-02-16,859676,416616,128000,205385,48603,522623,175037,347586
2021-02-17,859676,416616,128000,205385,48826,522623,175037,347586
2021-02-18,859676,416616,128000,231294,66703,522623,175037,347586
2021-02-19,859676,416616,128000,231294,62845,522623,175037,347586
2021-02-20,859676,416616,128000,231294,17820,522623,175037,347586
2021-02-21,859676,416616,128000,231294,2835,522623,175037,347586
2021-02-22,859676,416616,128000,231294,35888,528578,202047,326531
2021-02-23,859676,416616,128000,231294,51857,528578,202047,326531
2021-02-24,859676,416616,128000,231294,57057,528578,202047,326531
2021-02-25,859676,416616,128000,231294,96925,528578,202047,326531
2021-02-26,925186,635316,62050,159072,110072,528578,202047,326531
2021-02-27,925186,635316,62050,159072,50122,528578,202047,326531
2021-02-28,925186,635316,62050,159072,5583,528578,202047,326531
2021-03-01,925186,635316,62050,159072,62368,771233,511363,259870
2021-03-02,925186,635316,62050,159072,97704,771233,511363,259870
2021-03-03,925186,635316,62050,159072,111442,771233,511363,259870
2021-03-04,925186,635316,62050,159072,155566,771233,511363,259870
2021-03-05,925186,635316,62050,159072,193913,771233,511363,259870
2021-03-06,925186,635316,62050,159072,200052,771233,511363,259870
2021-03-07,925186,635316,62050,159072,117441,771233,511363,259870
2021-03-08,919224,594474,226960,35988,102599,817702,591566,226136
2021-03-09,919224,594474,226960,35988,166387,817702,591566,226136
2021-03-10,919224,594474,226960,35988,171783,817702,591566,226136
2021-03-11,919224,594474,226960,35988,234508,817702,591566,226136
2021-03-12,919224,594474,226960,35988,285613,817702,591566,226136
2021-03-13,919224,594474,226960,35988,222981,817702,591566,226136
2021-03-14,919224,594474,226960,35988,61092,817702,591566,226136
2021-03-15,919224,594474,226960,35988,152691,877893,736985,140908
2021-03-16,919224,594474,226960,24792,136700,877893,736985,140908
2021-03-17,919224,594474,226960,24792,144280,877893,736985,140908
2021-03-18,919224,594474,226960,24792,161130,877893,736985,140908
2021-03-19,1008668,664548,307790,4780,221674,877893,736985,140908
2021-03-20,1008668,664548,307790,4780,161608,877893,736985,140908
2021-03-21,1008668,664548,307790,4780,48037,877893,736985,140908
2021-03-22,1008668,664548,307790,4780,163825,1059331,881522,177809
2021-03-23,1008668,664548,307790,717552,241749,1059331,881522,177809
2021-03-24,1008668,664548,307790,717552,249147,1059331,881522,177809
2021-03-25,1008668,664548,307790,717552,329458,1059331,881522,177809
2021-03-26,1142570,944430,168340,1225188,347109,1059331,881522,177809
2021-03-27,1142570,944430,168340,1225188,189753,1059331,881522,177809
2021-03-28,1142570,944430,168340,1225188,57059,1059331,881522,177809
2021-03-29,1142570,944430,168340,1225188,192774,1161599,751119,410480
2021-03-30,1142570,944430,168340,1040340,269077,1161599,751119,410480
2021-03-31,998244,752934,215170,1040340,240487,1161599,751119,410480
2021-04-01,998244,752934,215170,1040340,240487,1161599,751119,410480
