date,nouveaux_deces,nouveaux_gueris,nouveaux_decesEhpad,total_reanimation,nouveaux_casConfirmes,total_hospitalises,nouveaux_testsPositifs,nouveaux_testsRealises,nouveaux_casConfirmesEhpad,nouvellesReanimations,nouvellesHospitalisations,nouvellesPremieresInjections,nouveau_r0
2020-03-01,,,,,,,,,,,,,
2020-03-02,3,,,,191,,,,,,,,
2020-03-03,1,,,,21,,,,,,,,
2020-03-04,0,,,15,73,,,,,,,,
2020-03-05,3,,,23,138,,,,,,,,
2020-03-06,2,,,39,190,,,,,,,,
2020-03-07,7,,,45,336,,,,,,,,
2020-03-08,3,,,,177,,,,,,,,
2020-03-09,6,,,66,286,,,,,,,,
2020-03-10,8,,,86,372,,8,79,,,,,
2020-03-11,15,,,105,497,,16,108,,,,,
2020-03-12,13,,,129,595,,33,157,,,,,
2020-03-13,18,,,,785,,61,350,,,,,
2020-03-14,12,,,300,839,,54,167,,,,,
2020-03-15,36,,,,923,400,49,174,,,,,
2020-03-16,21,,,,1210,,198,819,,,,,
2020-03-17,27,,,699,1097,2579,223,1011,,,,,
2020-03-18,89,398,,931,1404,3626,394,1571,,,,,
2020-03-19,108,300,,1122,1861,4461,528,2098,,438,2229,,
2020-03-20,78,287,,1297,1617,5226,705,2454,,242,1256,,
2020-03-21,112,224,,1525,1847,6172,264,783,,298,1540,,
2020-03-22,112,389,,1746,2230,7240,250,555,,309,1534,,
2020-03-23,186,367,,2082,3167,8675,1285,4369,,448,2053,,
2020-03-24,240,714,,2516,2446,10176,1385,4960,,571,2618,,
2020-03-25,231,619,,2827,2931,11539,1363,5161,,607,3166,,
2020-03-26,365,1048,,3375,3922,13904,1573,5716,,612,3097,,
2020-03-27,299,750,,3787,3809,15732,1588,6533,,608,3059,,
2020-03-28,319,926,,4273,4611,17620,523,1894,,695,3353,,
2020-03-29,292,507,,4632,2599,19354,228,604,,543,2685,,
2020-03-30,418,793,,5107,4376,21008,1918,8169,,694,3108,,
2020-03-31,499,1520,,5565,7578,22757,1792,8051,,767,4146,,
2020-04-01,509,1491,,6017,4861,24639,1467,7319,,771,4281,,
2020-04-02,471,1493,513,6399,2116,26246,1579,7375,,728,3845,,
2020-04-03,588,1580,532,6662,5233,27432,1668,8237,,640,3627,,
2020-04-04,441,1430,612,6838,4267,28143,345,1675,,502,2822,,
2020-04-05,357,745,161,6978,1873,28891,120,377,,390,1931,,
2020-04-06,605,1067,228,7072,3912,29722,1502,7611,,478,2754,,
2020-04-07,597,2087,820,7131,3777,30027,1429,7790,,518,3277,,
2020-04-08,541,1917,0,7148,3881,30375,1691,10059,,482,3139,,
2020-04-09,412,1952,929,7066,4286,30767,1589,10603,,369,2990,,
2020-04-10,554,1726,433,7004,4342,31267,1932,11527,,431,3161,,
2020-04-11,345,1459,290,6883,3114,31320,242,1636,,255,2044,,
2020-04-12,310,795,251,6845,1613,31826,71,389,,220,1688,,
2020-04-13,335,532,239,6821,2673,32113,206,1156,523,227,1257,,
2020-04-14,541,1087,221,6730,5497,32292,1423,11890,569,275,1965,,
2020-04-15,514,2190,924,6457,2633,31779,1211,12608,1343,284,2415,,
2020-04-16,417,1817,336,6248,2641,31305,1082,11959,4574,270,2084,,
2020-04-17,418,1608,343,6027,405,31190,959,11470,1305,242,2166,,
2020-04-18,364,1563,278,5833,2569,30639,186,2361,1891,206,1565,,
2020-04-19,227,595,168,5744,785,30610,32,502,885,137,890,,
2020-04-20,444,831,103,5683,2051,30584,660,9224,620,208,1464,,
2020-04-21,387,1772,144,5433,2667,30106,697,11557,,190,1885,,
2020-04-22,336,1476,208,5218,1827,29741,602,11047,,183,1619,,
2020-04-23,311,1431,205,5053,1653,29219,585,9872,1327,178,1410,,
2020-04-24,305,1405,84,4870,1773,28658,471,9077,1040,155,1346,,
2020-04-25,198,1101,171,4725,1537,28222,66,1397,1246,124,999,,
2020-04-26,152,309,90,4682,461,28217,13,306,517,79,481,,
2020-04-27,295,610,142,4608,3764,28055,291,7431,584,125,964,,
2020-04-28,313,1373,54,4387,1520,27484,336,8104,590,153,1321,,
2020-04-29,243,1342,184,4207,,26834,363,9850,978,110,1070,,
2020-04-30,191,1248,98,4019,1139,26283,265,8793,560,121,1048,,
2020-05-01,125,736,93,3878,604,25887,4,232,436,73,668,,
2020-05-02,118,350,48,3827,794,25827,49,1369,480,64,453,,
2020-05-03,96,222,39,3819,308,25815,11,197,90,80,345,,
2020-05-04,243,587,63,3696,576,25548,302,10093,430,84,689,,
