date,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,totalPrisesRendezVousSemaine,nouvelles_livraisonsNombreTotalDoses,nouvelles_livraisonsNombreDosesPfizer,nouvelles_livraisonsNombreDosesModerna
2020-12-26,,,,,,,,,,,
2020-12-27,,,,,422,,,,58500,58500,
2020-12-28,,,,,438,,,,58500,58500,
2020-12-29,,,,,279,,,,58500,58500,
2020-12-30,,,,,333,,,,58500,58500,
2020-12-31,,,,,266,,,,58500,58500,
2021-01-01,,,,,311,,,,58500,58500,
2021-01-02,,,,,252,,,,58500,58500,
2021-01-03,,,,,281,,,,464100,464100,
2021-01-04,,,,,1788,,,,464100,464100,
2021-01-05,,,,,5727,,,,464100,464100,
2021-01-06,,,,,11632,,,,464100,464100,
2021-01-07,,,,,29096,,,,464100,464100,
2021-01-08,,,,,36750,,,,464100,464100,
2021-01-09,,,,,11093,,,,464100,464100,
2021-01-10,,,,,5776,,,,519675,519675,
2021-01-11,,,,,39652,,,,519675,519675,
2021-01-12,,,,,61709,,,,519675,519675,
2021-01-13,,,,,64657,,,,519675,519675,
2021-01-14,,,,,82150,,,,519675,519675,
2021-01-15,,,,,68555,,,,519675,519675,
2021-01-16,,,,,20048,,,,519675,519675,
2021-01-17,,,,,10836,,,,569325,517725,51600
2021-01-18,,,,,85457,10626,35,10661,569325,517725,51600
2021-01-19,,,,,130134,10626,35,10661,569325,517725,51600
2021-01-20,,,,,137075,10626,35,10661,569325,517725,51600
2021-01-21,,,,,157663,10626,35,10661,569325,517725,51600
2021-01-22,,,,364235,120517,10626,35,10661,569325,517725,51600
2021-01-23,,,,364235,38286,10626,35,10661,569325,517725,51600
2021-01-24,,,,364235,9623,10626,35,10661,390780,390780,0
2021-01-25,,,,333655,77795,11825,269,12094,390780,390780,0
2021-01-26,,,,333655,99999,11825,269,12094,390780,390780,0
2021-01-27,,,,333655,106897,11825,269,12094,390780,390780,0
2021-01-28,,,,333655,123920,11825,269,12094,390780,390780,0
2021-01-29,,,,333655,91794,11825,269,12094,390780,390780,0
2021-01-30,,,,333655,28958,11825,269,12094,390780,390780,0
2021-01-31,,,,298540,5106,11825,269,12094,572130,572130,0
2021-02-01,,,,298540,52314,9740,2156,11896,572130,572130,0
2021-02-02,,,,298540,71744,9740,2156,11896,572130,572130,0
2021-02-03,,,,298540,71854,9740,2156,11896,572130,572130,0
2021-02-04,,,,298540,81528,9740,2156,11896,572130,572130,0
2021-02-05,,,,298540,67859,9740,2156,11896,572130,572130,0
2021-02-06,,,,298540,22242,9740,2156,11896,572130,572130,0
2021-02-07,,,,298540,5045,9740,2156,11896,913110,565110,74400
2021-02-08,,,,298540,46415,8447,4362,12809,913110,565110,74400
2021-02-09,,,,298540,65586,8447,4362,12809,913110,565110,74400
2021-02-10,,,,298540,70304,8447,4362,12809,913110,565110,74400
2021-02-11,,,,298540,86676,8447,4362,12809,913110,565110,74400
2021-02-12,,,,205385,78635,8447,4362,12809,913110,565110,74400
2021-02-13,,,,205385,22055,8447,4362,12809,913110,565110,74400
2021-02-14,,,,205385,4855,8447,4362,12809,1030680,566280,147600
2021-02-15,,,,205385,37596,5795,9738,15533,1030680,566280,147600
2021-02-16,,,,205385,49825,5795,9738,15533,1030680,566280,147600
2021-02-17,,,,205385,49969,5795,9738,15533,1030680,566280,147600
2021-02-18,,,,231294,69087,5795,9738,15533,1030680,566280,147600
2021-02-19,,,,231294,64575,5795,9738,15533,1030680,566280,147600
2021-02-20,,,,231294,18306,5795,9738,15533,1030680,566280,147600
2021-02-21,,,,231294,3119,5795,9738,15533,1231650,684450,0
2021-02-22,,,,231294,37052,7583,11909,19492,1231650,684450,0
2021-02-23,,,,231294,53275,7583,11909,19492,1231650,684450,0
2021-02-24,,,,231294,59291,7583,11909,19492,1231650,684450,0
2021-02-25,,,,231294,99896,7583,11909,19492,1231650,684450,0
2021-02-26,,,,159072,112784,7583,11909,19492,1231650,684450,0
2021-02-27,,,,159072,51748,7583,11909,19492,1231650,684450,0
2021-02-28,,,,159072,5962,7583,11909,19492,702000,702000,0
2021-03-01,,,,159072,64696,21348,10185,31533,702000,702000,0
2021-03-02,,,,159072,100546,21348,10185,31533,702000,702000,0
2021-03-03,,,,159072,115344,21348,10185,31533,702000,702000,0
2021-03-04,,,,159072,162579,21348,10185,31533,702000,702000,0
2021-03-05,,,,159072,199783,21348,10185,31533,702000,702000,0
2021-03-06,,,,159072,207118,21348,10185,31533,702000,702000,0
2021-03-07,,,,159072,120754,21348,10185,31533,1504020,755820,277200
2021-03-08,,,,35988,106268,25648,8386,34034,1504020,755820,277200
2021-03-09,,,,35988,171517,25648,8386,34034,1504020,755820,277200
2021-03-10,,,,35988,177626,25648,8386,34034,1504020,755820,277200
2021-03-11,,,,35988,241609,25648,8386,34034,1504020,755820,277200
2021-03-12,,,,35988,293594,25648,8386,34034,1504020,755820,277200
2021-03-13,,,,35988,230405,25648,8386,34034,1504020,755820,277200
2021-03-14,,,,35988,62907,25648,8386,34034,1544280,800280,0
2021-03-15,,,,35988,157527,32797,7168,39966,1544280,800280,0
2021-03-16,,,,24792,140655,32797,7168,39966,1544280,800280,0
2021-03-17,,,,24792,149580,32797,7168,39966,1544280,800280,0
2021-03-18,,,,24792,166800,32797,7168,39966,1544280,800280,0
2021-03-19,,,,4780,228900,32797,7168,39966,1544280,800280,0
2021-03-20,,,,4780,165941,32797,7168,39966,1544280,800280,0
2021-03-21,,,,4780,49430,32797,7168,39966,1491480,800280,372000
2021-03-22,,,,4780,168890,40313,8627,48940,1491480,800280,372000
2021-03-23,,,,717552,249067,40313,8627,48940,1491480,800280,372000
2021-03-24,,,,717552,255626,40313,8627,48940,1491480,800280,372000
2021-03-25,,,,717552,340510,40313,8627,48940,1491480,800280,372000
2021-03-26,,,,1225188,357579,40313,8627,48940,1491480,800280,372000
2021-03-27,,,,1225188,194527,40313,8627,48940,1491480,800280,372000
2021-03-28,,,,1225188,58920,40313,8627,48940,1394790,1248390,0
2021-03-29,,,,1225188,202044,41567,18431,59999,1394790,1248390,0
2021-03-30,,,,1040340,284125,41567,18431,59999,1394790,1248390,0
2021-03-31,,,,1040340,261742,41567,18431,59999,1394790,1248390,0
2021-04-01,,,,1363200,313194,41567,18431,59999,1394790,1248390,0
2021-04-02,,,,1363200,280024,41567,18431,59999,1394790,1248390,0
2021-04-03,,,,1363200,140219,41567,18431,59999,1394790,1248390,0
2021-04-04,,,,1363200,45407,41567,18431,59999,1574820,1247220,171600
2021-04-05,,,,939360,59729,45725,21980,67706,1574820,1247220,171600
2021-04-06,,,,939360,215600,45725,21980,67706,1574820,1247220,171600
2021-04-07,,,,939360,258405,45725,21980,67706,1574820,1247220,171600
2021-04-08,,,,939360,335742,45725,21980,67706,1574820,1247220,171600
2021-04-09,,,,939360,408250,45725,21980,67706,1574820,1247220,171600
2021-04-10,,,,939360,211589,45725,21980,67706,1574820,1247220,171600
2021-04-11,,,,939360,55527,45725,21980,67706,3687270,1838070,385200
2021-04-12,,,,1298640,235569,48312,32774,81089,3687270,1838070,385200
2021-04-13,,,,1298640,307739,48312,32774,81089,3687270,1838070,385200
2021-04-14,,,,1558674,292214,48312,32774,81089,3687270,1838070,385200
2021-04-15,,,,1558674,334514,48312,32774,81089,3687270,1838070,385200
2021-04-16,,,,1558674,337730,48312,32774,81089,3687270,1838070,385200
2021-04-17,,,,1558674,187716,48312,32774,81089,3687270,1838070,385200
2021-04-18,,,,1558674,51014,48312,32774,81089,2495670,1838070,465600
2021-04-19,,,,1146588,204191,48852,37737,86593,2495670,1838070,465600
2021-04-20,,,,1146588,252477,48852,37737,86593,2495670,1838070,465600
2021-04-21,,,,1146588,251344,48852,37737,86593,2495670,1838070,465600
2021-04-22,,,,1146588,285679,48852,37737,86593,2495670,1838070,465600
2021-04-23,,,,1926042,295417,48852,37737,86593,2495670,1838070,465600
2021-04-24,,,,1926042,189344,48852,37737,86593,2495670,1838070,465600
2021-04-25,,,,1926042,68928,48852,37737,86593,2519670,1838070,0
2021-04-26,,,,1926042,219554,55449,43275,98725,2519670,1838070,0
2021-04-27,,,,1122408,282794,55449,43275,98725,2519670,1838070,0
2021-04-28,,,,1122408,297806,55449,43275,98725,2519670,1838070,0
2021-04-29,,,,1122408,355120,55449,43275,98725,2519670,1838070,0
2021-04-30,,,,1122408,370284,55449,43275,98725,2519670,1838070,0
2021-05-01,,,,1122408,165145,55449,43275,98725,2519670,1838070,0
2021-05-02,,,,1122408,90785,55449,43275,98725,2953710,2577510,266400
2021-05-03,,,,1122408,285941,67323,45718,113042,2953710,2577510,266400
2021-05-04,,,,2504694,312692,67323,45718,113042,2953710,2577510,266400
2021-05-05,,,,2504694,323151,67323,45718,113042,2953710,2577510,266400
2021-05-06,,,,2332452,376004,67323,45718,113042,2953710,2577510,266400
2021-05-07,,,,2332452,370051,67323,45718,113042,2953710,2577510,266400
2021-05-08,,,,2332452,220696,67323,45718,113042,2953710,2577510,266400
2021-05-09,,,,2332452,128882,67323,45718,113042,5178240,2517840,303600
