date,S,I,R,r0
2020-06-01,66847909,7535,144556,0.82
2020-06-02,66848675,6519,144806,0.82
2020-06-03,66848323,6756,144921,0.82
2020-06-04,66847556,7165,145279,0.83
2020-06-05,66846945,7500,145555,0.84
2020-06-06,66846366,7888,145746,0.86
2020-06-07,66846023,4906,149071,0.88
2020-06-08,66845812,4520,149668,0.89
2020-06-09,66845409,3095,151496,0.9
2020-06-10,66844864,3383,151753,0.9
2020-06-11,66844439,3470,152091,0.9
2020-06-12,66843713,4962,151325,0.89
2020-06-13,66843187,5136,151677,0.88
2020-06-14,66842780,4776,152444,0.88
2020-06-15,66842628,4317,153055,0.87
2020-06-16,66842284,4082,153634,0.87
2020-06-17,66841826,4197,153977,0.87
2020-06-18,66841359,4453,154188,0.87
2020-06-19,66840548,4861,154591,0.87
2020-06-20,66839907,4957,155136,0.88
2020-06-21,66839623,4816,155561,0.88
2020-06-22,66839250,4463,156287,0.89
2020-06-23,66838733,4454,156813,0.89
2020-06-24,66838652,4128,157220,0.9
2020-06-25,66838652,3976,157372,0.91
2020-06-26,66837064,5220,157716,0.92
2020-06-27,66836546,5280,158174,0.94
2020-06-28,66836020,5339,158641,0.96
2020-06-29,66835740,4808,159452,0.98
2020-06-30,66835199,4708,160093,1
2020-07-01,66834281,5342,160377,1.02
2020-07-02,66833622,5628,160750,1.03
2020-07-03,66833040,5693,161267,1.05
2020-07-04,66832289,6363,161348,1.06
2020-07-05,66831841,6811,161348,1.06
2020-07-06,66831665,5399,162936,1.07
2020-07-07,66831190,5356,163454,1.08
2020-07-08,66830527,5493,163980,1.1
2020-07-09,66829906,5834,164260,1.12
2020-07-10,66829248,5951,164801,1.14
2020-07-11,66828496,5785,165719,1.15
2020-07-12,66827911,5711,166378,1.17
2020-07-13,66827623,5417,166960,1.18
2020-07-14,66827112,5177,167711,1.2
2020-07-15,66826696,5145,168159,1.21
2020-07-16,66826162,5503,168335,1.23
2020-07-17,66825326,5864,168810,1.26
2020-07-18,66824361,6166,169473,1.29
2020-07-19,66823596,6310,170094,1.32
2020-07-20,66823246,6002,170752,1.36
2020-07-21,66822662,5834,171504,1.39
2020-07-22,66821664,6247,172089,1.41
