date,S,V,I,R,r0,nouveau_taux_vaccination
2020-12-27,64439914,400,132370,2427316,0.96,6.207332927228922E-6
2020-12-28,64436531,823,119656,2442990,0.95,6.564599202275492E-6
2020-12-29,64424865,1094,113486,2460555,0.96,4.206450413206143E-6
2020-12-30,64398084,1418,127144,2473354,0.97,5.031205586799757E-6
2020-12-31,64377903,1672,141274,2479151,0.99,3.945453147176912E-6
2021-01-01,64358254,1973,148827,2490946,1.01,4.676944778520561E-6
2021-01-02,64354549,2212,137364,2505875,1.03,3.7138011797736317E-6
2021-01-03,64341784,2488,128219,2527509,1.06,4.289591970281707E-6
2021-01-04,64335990,4260,111979,2547771,1.09,2.754290405727805E-5
2021-01-05,64309788,9973,129375,2550864,1.12,8.883562172526521E-5
2021-01-06,64272791,21591,145932,2559686,1.15,1.8076078258372194E-4
2021-01-07,64222012,50667,164675,2562646,1.17,4.527419664148797E-4
2021-01-08,64165463,87402,173094,2574041,1.18,5.72504245780943E-4
2021-01-09,64134208,98480,166814,2600498,1.18,1.727315319774433E-4
2021-01-10,64112495,104249,162831,2620425,1.17,8.998245973737257E-5
2021-01-11,64069272,143890,147065,2639773,1.15,6.187209369258948E-4
2021-01-12,63987849,205561,163351,2643239,1.13,9.637923600151022E-4
2021-01-13,63899368,270190,174714,2655728,1.11,0.0010114184540917525
2021-01-14,63796111,352219,191920,2659750,1.1,0.001285799380466938
2021-01-15,63706315,420744,192702,2680239,1.09,0.0010756390477145005
2021-01-16,63664875,440778,188729,2705618,1.08,3.146790125638352E-4
2021-01-17,63637423,451588,183668,2727321,1.08,1.6986860074456504E-4
2021-01-18,63548273,537002,167590,2747135,1.09,0.0013440805857934171
2021-01-19,63394584,667083,171021,2767312,1.09,0.002051926076208655
2021-01-20,63230772,804111,181861,2783256,1.09,0.0021671093941411945
2021-01-21,63050320,961715,201127,2786838,1.09,0.002499654244419378
2021-01-22,62906557,1082186,204667,2806590,1.08,0.0019150785823487367
2021-01-23,62844361,1120458,204739,2830442,1.07,6.089965653402061E-4
2021-01-24,62816318,1130065,201947,2851670,1.07,1.5293796748800208E-4
2021-01-25,62734306,1207837,184916,2872941,1.06,0.0012397044768455716
2021-01-26,62612263,1307794,185596,2894347,1.05,0.0015964444537007072
2021-01-27,62478484,1414657,195870,2910989,1.05,0.0017103968143657262
2021-01-28,62330835,1538536,215904,2914725,1.04,0.001987443293515962
2021-01-29,62216192,1630321,215154,2938333,1.04,0.0014752590451051714
2021-01-30,62162849,1659272,212762,2965117,1.03,4.6572833236777805E-4
2021-01-31,62138526,1664360,209149,2987965,1.03,8.188156893196984E-5
2021-02-01,62081886,1716653,190204,3011257,1.02,8.423229925714564E-4
2021-02-02,61986854,1788348,189617,3035181,1.01,0.0011566162076881656
2021-02-03,61888665,1860175,197543,3053617,1,0.001160584090802411
2021-02-04,61783718,1941674,216751,3057857,0.99,0.0013191015794808594
2021-02-05,61693764,2009489,216804,3079943,0.98,0.0010992196877467227
2021-02-06,61651007,2031660,210474,3106859,0.96,3.596210520940883E-4
2021-02-07,61626259,2036693,206419,3130629,0.95,8.166973108005794E-5
2021-02-08,61575550,2083085,187878,3153487,0.94,7.534159256393163E-4
2021-02-09,61491126,2148639,182356,3177879,0.93,0.0010660725256519128
2021-02-10,61395505,2218873,188508,3197114,0.92,0.0011439599690563666
2021-02-11,61287804,2305511,205224,3201461,0.91,0.0014136254580111893
2021-02-12,61188520,2384094,202588,3224798,0.91,0.0012842768545472255
2021-02-13,61145267,2406116,197457,3251160,0.91,3.601587020627451E-4
2021-02-14,61123885,2410952,190555,3274608,0.91,7.911800763318628E-5
2021-02-15,61081940,2448521,172792,3296747,0.92,6.150590501873385E-4
2021-02-16,61012558,2498313,171796,3317333,0.93,8.160942866876685E-4
2021-02-17,60937609,2548244,177099,3337048,0.95,8.193790471825043E-4
2021-02-18,60846068,2617284,195283,3341365,0.97,0.001134666581906328
2021-02-19,60757417,2681819,200529,3360235,1,0.0010621748452538725
2021-02-20,60716753,2700112,197513,3385622,1.02,3.012842271061498E-4
2021-02-21,60691594,2703225,198496,3406685,1.05,5.12921113919005E-5
2021-02-22,60649928,2740245,182441,3427386,1.06,6.103881937007411E-4
2021-02-23,60576620,2793489,181274,3448617,1.07,8.789529689837432E-4
2021-02-24,60485846,2852744,196247,3465163,1.08,9.796506772840707E-4
2021-02-25,60360572,2952615,217274,3469539,1.07,0.001654573452352307
2021-02-26,60222612,3065368,222891,3489129,1.06,0.0018722701698823691
2021-02-27,60146895,3117089,221869,3514147,1.05,8.599113886095034E-4
2021-02-28,60120987,3123045,219320,3536648,1.04,9.906690320968948E-5
2021-03-01,60051632,3187697,199907,3560764,1.02,0.0010766068772285822
2021-03-02,59928310,3288162,200393,3583135,1.02,0.0016764197088154163
2021-03-03,59786234,3403450,205135,3605181,1.01,0.001928336881028499
2021-03-04,59598438,3565967,225768,3609827,1.01,0.0027268667678840845
2021-03-05,59375199,3765699,229211,3629891,1.01,0.0033638960940577224
2021-03-06,59144820,3972772,220998,3661410,1.02,0.0035011181029885627
2021-03-07,59002261,4093506,217420,3686813,1.03,0.002046260566184065
2021-03-08,58890719,4199721,197540,3712020,1.04,0.0018035948924311825
2021-03-09,58695971,4371167,196846,3736016,1.05,0.0029209159858689447
