date,S,V,I,R,nouveau_taux_vaccination,r0
2020-12-27,64439889,425,132370,2427316,6.5952937938797505E-6,0.96
2020-12-28,64436489,865,119656,2442990,6.8284291529291735E-6,0.95
2020-12-29,64424815,1144,113486,2460555,4.330629432152813E-6,0.96
2020-12-30,64398024,1478,127144,2473354,5.186494542130672E-6,0.97
2020-12-31,64377830,1745,141274,2479151,4.147390491416067E-6,0.99
2021-01-01,64358171,2056,148827,2490946,4.832331235764919E-6,1.01
2021-01-02,64354452,2309,137364,2505875,3.931351944384516E-6,1.03
2021-01-03,64341682,2590,128219,2527509,4.367308893168195E-6,1.06
2021-01-04,64335868,4382,111979,2547771,2.7853824867957016E-5,1.09
2021-01-05,64309649,10112,129375,2550864,8.91001597598519E-5,1.12
2021-01-06,64272638,21744,145932,2559686,1.8097903496663696E-4,1.15
2021-01-07,64221839,50840,164675,2562646,4.530546065490277E-4,1.17
2021-01-08,64165275,87590,173094,2574041,5.72739694484283E-4,1.18
2021-01-09,64134004,98684,166814,2600498,1.7298155904939288E-4,1.18
2021-01-10,64112283,104461,162831,2620425,9.010753836359251E-5,1.17
2021-01-11,64069047,144115,147065,2639773,6.189260158653522E-4,1.15
2021-01-12,63987581,205829,163351,2643239,9.644684020794598E-4,1.13
2021-01-13,63899068,270490,174714,2655728,0.0010119239923812348,1.11
2021-01-14,63795678,352652,191920,2659750,0.0012878928882925267,1.1
2021-01-15,63705846,421213,192702,2680239,0.0010762120638033753,1.09
2021-01-16,63664390,441263,188729,2705618,3.149327276991109E-4,1.08
2021-01-17,63636911,452100,183668,2727321,1.7029424951189097E-4,1.08
2021-01-18,63547712,537563,167590,2747135,0.0013448635255349556,1.08
2021-01-19,63393957,667710,171021,2767312,0.0020529874795479322,1.09
2021-01-20,63230099,804784,181861,2783256,0.0021678599617565046,1.09
2021-01-21,63049574,962461,201127,2786838,0.0025008416393106797,1.09
2021-01-22,62905761,1082982,204667,2806590,0.0019158976552242967,1.08
2021-01-23,62843549,1121270,204739,2830442,6.09259034686281E-4,1.08
2021-01-24,62815488,1130895,201947,2851670,1.5322654183630636E-4,1.07
2021-01-25,62733449,1208694,184916,2872941,0.0012401518048210612,1.06
2021-01-26,62611357,1308700,185596,2894347,0.0015972501602225296,1.05
2021-01-27,62477538,1415603,195870,2910989,0.001711062942332971,1.05
2021-01-28,62329843,1539528,215904,2914725,0.0019882129335702,1.04
2021-01-29,62215188,1631325,215154,2938333,0.0014754757311028297,1.04
2021-01-30,62161835,1660286,212762,2965117,4.65896799861201E-4,1.03
2021-01-31,62137493,1665393,209149,2987965,8.218870368651662E-5,1.03
2021-02-01,62080823,1717716,190204,3011257,8.42820656549608E-4,1.02
2021-02-02,61985728,1789474,189617,3035181,0.0011576535811598438,1.01
2021-02-03,61887503,1861337,197543,3053617,0.0011611875825722035,1
2021-02-04,61782524,1942868,216751,3057857,0.0013196450180636842,0.99
2021-02-05,61692518,2010735,216804,3079943,0.0011000847785139845,0.98
2021-02-06,61649672,2032995,210474,3106859,3.610724806451525E-4,0.96
2021-02-07,61624907,2038045,206419,3130629,8.194738533236245E-5,0.95
2021-02-08,61574168,2084467,187878,3153487,7.539200529676665E-4,0.93
2021-02-09,61489714,2150051,182356,3177879,0.001066584892556176,0.92
2021-02-10,61394017,2220361,188508,3197114,0.0011452256007291395,0.92
2021-02-11,61286276,2307039,205224,3201461,0.0014143133774354312,0.91
2021-02-12,61186932,2385682,202588,3224798,0.0012852907872550302,0.91
2021-02-13,61143642,2407741,197457,3251160,3.607734063338916E-4,0.91
2021-02-14,61122232,2412605,190555,3274608,7.957824576825009E-5,0.92
2021-02-15,61080258,2450203,172792,3296747,6.155507725589503E-4,0.93
2021-02-16,61010837,2500034,171796,3317333,8.167565378590036E-4,0.94
2021-02-17,60935843,2550010,177099,3337048,8.201412754723029E-4,0.96
2021-02-18,60844248,2619104,195283,3341365,0.001135588034550119,0.98
2021-02-19,60755547,2683689,200529,3360235,0.001063030508144384,1
2021-02-20,60714869,2701996,197513,3385622,3.0152416206316774E-4,1.02
2021-02-21,60689698,2705121,198496,3406685,5.149144093615361E-5,1.04
2021-02-22,60647996,2742177,182441,3427386,6.110012274766672E-4,1.05
2021-02-23,60574649,2795460,181274,3448617,8.796254023692321E-4,1.07
2021-02-24,60483830,2854760,196247,3465163,9.804273307427787E-4,1.07
2021-02-25,60358521,2954666,217274,3469539,0.001655209543653331,1.07
2021-02-26,60220524,3067456,222891,3489129,0.0018729494947602914,1.07
2021-02-27,60144779,3119205,221869,3514147,8.604071851357205E-4,1.06
2021-02-28,60118859,3125173,219320,3536648,9.927001442259574E-5,1.04
2021-03-01,60049448,3189881,199907,3560764,0.0010775785982245832,1.03
2021-03-02,59926036,3290436,200393,3583135,0.0016779851749246354,1.02
2021-03-03,59783895,3405789,205135,3605181,0.001929499575094597,1.01
2021-03-04,59596028,3568377,225768,3609827,0.002728168394041294,1.01
2021-03-05,59372713,3768185,229211,3629891,0.0033653169933467583,1.01
2021-03-06,59142279,3975313,220998,3661410,0.003502198486466847,1.01
2021-03-07,58999697,4096070,217420,3686813,0.0020467393247799223,1.02
2021-03-08,58888092,4202348,197540,3712020,0.001804745176664919,1.04
2021-03-09,58693261,4373877,196846,3736016,0.0029224649828197484,1.06
2021-03-10,58485317,4551518,207197,3755968,0.003037360642159125,1.07
2021-03-11,58216529,4793140,229660,3760671,0.004150402027575364,1.09
2021-03-12,57897697,5086743,232032,3783528,0.005071065261887706,1.11
2021-03-13,57637526,5317155,235003,3810316,0.003997603922139198,1.13
2021-03-14,57548277,5380061,236067,3835595,0.001093099624859316,1.14
2021-03-15,57384269,5537598,219031,3859102,0.002745299412980237,1.16
2021-03-16,57213629,5678263,225700,3882408,0.002458592514731062,1.18
2021-03-17,57025542,5827849,242376,3904233,0.0026231403464784253,1.19
