date,cumulPremieresInjections
2020-12-26,
2020-12-27,422
2020-12-28,860
2020-12-29,1139
2020-12-30,1472
2020-12-31,1738
2021-01-01,2049
2021-01-02,2301
2021-01-03,2582
2021-01-04,4370
2021-01-05,10097
2021-01-06,21729
2021-01-07,50825
2021-01-08,87575
2021-01-09,98668
2021-01-10,104444
2021-01-11,144096
2021-01-12,205805
2021-01-13,270462
2021-01-14,352612
2021-01-15,421167
2021-01-16,441215
2021-01-17,452051
2021-01-18,537508
2021-01-19,667642
2021-01-20,804717
2021-01-21,962380
2021-01-22,1082897
2021-01-23,1121183
2021-01-24,1130806
2021-01-25,1208601
2021-01-26,1308600
2021-01-27,1415497
2021-01-28,1539417
2021-01-29,1631211
2021-01-30,1660169
2021-01-31,1665275
2021-02-01,1717589
2021-02-02,1789333
2021-02-03,1861187
2021-02-04,1942715
2021-02-05,2010574
2021-02-06,2032816
2021-02-07,2037861
2021-02-08,2084276
2021-02-09,2149862
2021-02-10,2220166
2021-02-11,2306842
2021-02-12,2385477
2021-02-13,2407532
2021-02-14,2412387
2021-02-15,2449983
2021-02-16,2499808
2021-02-17,2549777
2021-02-18,2618864
2021-02-19,2683439
2021-02-20,2701745
2021-02-21,2704864
2021-02-22,2741916
2021-02-23,2795191
2021-02-24,2854482
2021-02-25,2954378
2021-02-26,3067162
2021-02-27,3118910
2021-02-28,3124872
2021-03-01,3189568
2021-03-02,3290114
2021-03-03,3405458
2021-03-04,3568037
2021-03-05,3767820
2021-03-06,3974938
2021-03-07,4095692
2021-03-08,4201960
2021-03-09,4373477
2021-03-10,4551103
2021-03-11,4792712
2021-03-12,5086306
2021-03-13,5316711
2021-03-14,5379618
2021-03-15,5537145
2021-03-16,5677800
2021-03-17,5827380
2021-03-18,5994180
2021-03-19,6223080
2021-03-20,6389021
2021-03-21,6438451
2021-03-22,6607341
2021-03-23,6856408
2021-03-24,7112034
2021-03-25,7452544
2021-03-26,7810123
2021-03-27,8004650
2021-03-28,8063570
2021-03-29,8265614
2021-03-30,8549739
2021-03-31,8811481
2021-04-01,9124675
2021-04-02,9404699
2021-04-03,9544918
2021-04-04,9590325
2021-04-05,9650054
2021-04-06,9865654
2021-04-07,10124059
2021-04-08,10459801
2021-04-09,10868051
2021-04-10,11079640
2021-04-11,11135167
2021-04-12,11370736
2021-04-13,11678475
2021-04-14,11970689
2021-04-15,12305203
2021-04-16,12642933
2021-04-17,12830649
2021-04-18,12881663
2021-04-19,13085854
2021-04-20,13338331
2021-04-21,13589675
2021-04-22,13875354
2021-04-23,14170771
2021-04-24,14360115
2021-04-25,14429043
2021-04-26,14648597
2021-04-27,14931391
2021-04-28,15229197
2021-04-29,15584317
2021-04-30,15954601
2021-05-01,16119746
2021-05-02,16210531
2021-05-03,16496472
2021-05-04,16809164
2021-05-05,17132315
2021-05-06,17508319
2021-05-07,17878370
2021-05-08,18099066
2021-05-09,18227948
2021-05-10,18536914
2021-05-11,18937652
2021-05-12,19368001
2021-05-13,19703671
2021-05-14,20154274
2021-05-15,20525879
2021-05-16,20727309
2021-05-17,21100556
2021-05-18,21556578
2021-05-19,22020778
2021-05-20,22524466
2021-05-21,23010769
2021-05-22,23355895
2021-05-23,23516576
2021-05-24,23777938
2021-05-25,24174988
2021-05-26,24585410
2021-05-27,25032099
2021-05-28,25458835
2021-05-29,25756245
2021-05-30,25862374
2021-05-31,26217917
2021-06-01,26640101
2021-06-02,27052327
2021-06-03,27510394
2021-06-04,27961737
2021-06-05,28263872
2021-06-06,28395222
2021-06-07,28729484
2021-06-08,29119047
2021-06-09,29499282
2021-06-10,29897338
2021-06-11,30280828
2021-06-12,30561865
2021-06-13,30665632
2021-06-14,30903506
2021-06-15,31207897
