date,deces,gueris,decesEhpad,reanimation,casConfirmes,hospitalises,testsRealises,testsPositifs,casConfirmesEhpad,casPossiblesEhpad,nouvellesReanimations,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,cumulPremieresInjections,nouvellesHospitalisations,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,totalPrisesRendezVousSemaine,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,livraisonsCumulNombreTotalDoses,livraisonsCumulNombreDosesPfizer,livraisonsCumulNombreDosesModerna,r0
2020-03-02,3,,,,191,,,,,,,,,,,,,,,,,,,,
2020-03-03,4,12,,,212,,,,,,,,,,,,,,,,,,,,
2020-03-04,4,,,15,285,,,,,,,,,,,,,,,,,,,,
2020-03-05,7,,,23,423,,,,,,,,,,,,,,,,,,,,
2020-03-06,9,,,39,613,,,,,,,,,,,,,,,,,,,,
2020-03-07,16,,,45,949,,,,,,,,,,,,,,,,,,,,
2020-03-08,19,,,,1126,,,,,,,,,,,,,,,,,,,,
2020-03-09,25,,,66,1412,,,,,,,,,,,,,,,,,,,,
2020-03-10,33,,,86,1784,,79,8,,,,,,,,,,,,,,,,,
2020-03-11,48,,,105,2281,,108,16,,,,,,,,,,,,,,,,,
2020-03-12,61,,,129,2876,,157,33,,,,,,,,,,,,,,,,,
2020-03-13,79,,,,3661,,350,61,,,,,,,,,,,,,,,,,
2020-03-14,91,,,300,4500,,167,54,,,,,,,,,,,,,,,,,
2020-03-15,127,,,,5423,400,174,49,,,,,,,,,,,,,,,,,
2020-03-16,148,,,,6633,,819,198,,,,,,,,,,,,,,,,,
2020-03-17,175,602,,699,7730,2579,1011,223,,,,,,,,,,,,,,,,,
2020-03-18,264,1000,,931,9134,3626,1571,394,,,,,,,,,,,,,,,,,
2020-03-19,372,1300,,1122,10995,4461,2098,528,,,438,,,,,2229,,,,,,,,,
2020-03-20,450,1587,,1297,12612,5226,2454,705,,,242,,,,,1256,,,,,,,,,
2020-03-21,562,1811,,1525,14459,6172,783,264,,,298,,,,,1540,,,,,,,,,
2020-03-22,674,2200,,1746,16689,7240,555,250,,,309,,,,,1534,,,,,,,,,
2020-03-23,860,2567,,2082,19856,8675,4369,1285,,,448,,,,,2053,,,,,,,,,
2020-03-24,1100,3281,,2516,22302,10176,4960,1385,,,571,,,,,2618,,,,,,,,,
2020-03-25,1331,3900,,2827,25233,11539,5161,1363,,,607,,,,,3166,,,,,,,,,
2020-03-26,1696,4948,,3375,29155,13904,5716,1573,,,612,,,,,3097,,,,,,,,,
2020-03-27,1995,5698,,3787,32964,15732,6533,1588,,,608,,,,,3059,,,,,,,,,
2020-03-28,2314,6624,,4273,37575,17620,1894,523,,,695,,,,,3353,,,,,,,,,
2020-03-29,2606,7131,,4632,40174,19354,604,228,,,543,,,,,2685,,,,,,,,,
2020-03-30,3024,7924,,5107,44550,21008,8169,1918,,,694,,,,,3108,,,,,,,,,
2020-03-31,3523,9444,,5565,52128,22757,8051,1792,,,767,,,,,4146,,,,,,,,,
2020-04-01,4032,10935,371,6017,56989,24639,7319,1467,,,771,,,,,4281,,,,,,,,,
2020-04-02,4503,12428,884,6399,59105,26246,7375,1579,,,728,,,,,3845,,,,,,,,,
2020-04-03,5091,14008,1416,6662,64338,27432,8237,1668,,,640,,,,,3627,,,,,,,,,
2020-04-04,5532,15438,2028,6838,68605,28143,1675,345,,,502,,,,,2822,,,,,,,,,
2020-04-05,5889,16183,2189,6978,70478,28891,377,120,,,390,,,,,1931,,,,,,,,,
2020-04-06,6494,17250,2417,7072,74390,29722,7611,1502,,,478,,,,,2754,,,,,,,,,
2020-04-07,7091,19337,3237,7131,78167,30027,7790,1429,,,518,,,,,3277,,,,,,,,,
2020-04-08,7632,21254,3237,7148,82048,30375,10059,1691,,,482,,,,,3139,,,,,,,,,
2020-04-09,8044,23206,4166,7066,86334,30767,10603,1589,,,369,,,,,2990,,,,,,,,,
2020-04-10,8598,24932,4599,7004,90676,31267,11527,1932,,,431,,,,,3161,,,,,,,,,
2020-04-11,8943,26391,4889,6883,93790,31320,1636,242,,,255,,,,,2044,,,,,,,,,
2020-04-12,9253,27186,5140,6845,95403,31826,389,71,11958,25230,220,,,,,1688,,,,,,,,,
2020-04-13,9588,27718,5379,6821,98076,32113,1156,206,12481,26222,227,,,,,1257,,,,,,,,,
2020-04-14,10129,28805,5600,6730,103573,32292,11890,1423,13050,26680,275,,,,,1965,,,,,,,,,
2020-04-15,10643,30995,6524,6457,106206,31779,12608,1211,14393,27264,284,,,,,2415,,,,,,,,,
2020-04-16,11060,32812,6860,6248,108847,31305,11959,1082,18967,37213,270,,,,,2084,,,,,,,,,
2020-04-17,11478,34420,7203,6027,109252,31190,11470,959,20272,38717,242,,,,,2166,,,,,,,,,
2020-04-18,11842,35983,7481,5833,111821,30639,2361,186,22163,39972,206,,,,,1565,,,,,,,,,
2020-04-19,12069,36578,7649,5744,112606,30610,502,32,23048,40288,137,,,,,890,,,,,,,,,
2020-04-20,12513,37409,7752,5683,114657,30584,9224,660,23668,40726,208,,,,,1464,,,,,,,,,
2020-04-21,12900,39181,7896,5433,117324,30106,11557,697,,,190,,,,,1885,,,,,,,,,
2020-04-22,13236,40657,8104,5218,119151,29741,11047,602,25513,,183,,,,,1619,,,,,,,,,
2020-04-23,13547,42088,8309,5053,120804,29219,9872,585,26840,37379,178,,,,,1410,,,,,,,,,
2020-04-24,13852,43493,8393,4870,122577,28658,9077,471,27880,37251,155,,,,,1346,,,,,,,,,
2020-04-25,14050,44594,8564,4725,124114,28222,1397,66,29126,37374,124,,,,,999,,,,,,,,,
2020-04-26,14202,44903,8654,4682,124575,28217,306,13,29643,37525,79,,,,,481,,,,,,,,,
2020-04-27,14497,45513,8796,4608,128339,28055,7431,291,30227,37503,125,,,,,964,,,,,,,,,
2020-04-28,14810,46886,8850,4387,129859,27484,8104,336,30817,39076,153,,,,,1321,,,,,,,,,
2020-04-29,15053,48228,9034,4207,128442,26834,9850,363,31795,,110,,,,,1070,,,,,,,,,
2020-04-30,15244,49476,9132,4019,129581,26283,8793,265,32355,,121,,,,,1048,,,,,,,,,
2020-05-01,15369,50212,9225,3878,130185,25887,232,4,32791,,73,,,,,668,,,,,,,,,
2020-05-02,15487,50562,9273,3827,130979,25827,1369,49,33271,,64,,,,,453,,,,,,,,,
2020-05-03,15583,50784,9312,3819,131287,25815,197,11,33361,,80,,,,,345,,,,,,,,,
2020-05-04,15826,51371,9375,3696,131863,25548,10093,302,33791,,84,,,,,689,,,,,,,,,
2020-05-05,16060,52736,9471,3430,132967,24775,10772,278,34108,,111,,,,,987,,,,,,,,,
2020-05-06,16237,53972,9572,3147,137150,23983,9391,206,34507,,69,,,,,833,,,,,,,,,
