date,cumulPremieresInjections
2020-12-26,
2020-12-27,400
2020-12-28,823
2020-12-29,1094
2020-12-30,1418
2020-12-31,1672
2021-01-01,1973
2021-01-02,2212
2021-01-03,2488
2021-01-04,4260
2021-01-05,9973
2021-01-06,21591
2021-01-07,50667
2021-01-08,87402
2021-01-09,98480
2021-01-10,104249
2021-01-11,143890
2021-01-12,205561
2021-01-13,270190
2021-01-14,352219
2021-01-15,420744
2021-01-16,440778
2021-01-17,451588
2021-01-18,537002
2021-01-19,667083
2021-01-20,804111
2021-01-21,961715
2021-01-22,1082186
2021-01-23,1120458
2021-01-24,1130065
2021-01-25,1207837
2021-01-26,1307794
2021-01-27,1414657
2021-01-28,1538536
2021-01-29,1630321
2021-01-30,1659272
2021-01-31,1664360
2021-02-01,1716653
2021-02-02,1788348
2021-02-03,1860175
2021-02-04,1941674
2021-02-05,2009489
2021-02-06,2031660
2021-02-07,2036693
2021-02-08,2083085
2021-02-09,2148639
2021-02-10,2218873
2021-02-11,2305511
2021-02-12,2384094
2021-02-13,2406116
2021-02-14,2410952
2021-02-15,2448521
2021-02-16,2498313
2021-02-17,2548244
2021-02-18,2617284
2021-02-19,2681819
2021-02-20,2700112
2021-02-21,2703225
2021-02-22,2740245
2021-02-23,2793489
2021-02-24,2852744
2021-02-25,2952615
2021-02-26,3065368
2021-02-27,3117089
2021-02-28,3123045
2021-03-01,3187697
2021-03-02,3288162
2021-03-03,3403450
2021-03-04,3565967
2021-03-05,3765699
2021-03-06,3972772
2021-03-07,4093506
2021-03-08,4199721
2021-03-09,4371167
2021-03-10,4548734
2021-03-11,4790273
2021-03-12,5083793
2021-03-13,5314151
2021-03-14,5377035
2021-03-15,5534483
2021-03-16,5675084
2021-03-17,5824625
2021-03-18,5991350
2021-03-19,6220213
2021-03-20,6386132
2021-03-21,6435545
2021-03-22,6604403
2021-03-23,6853428
2021-03-24,7109014
2021-03-25,7449492
2021-03-26,7807028
2021-03-27,8001537
2021-03-28,8060442
2021-03-29,8262472
2021-03-30,8546579
2021-03-31,8808297
2021-04-01,9121474
2021-04-02,9401462
2021-04-03,9541662
2021-04-04,9587058
2021-04-05,9646760
2021-04-06,9862332
2021-04-07,10120717
2021-04-08,10456441
2021-04-09,10864661
2021-04-10,11076218
2021-04-11,11131727
2021-04-12,11367274
2021-04-13,11674998
2021-04-14,11967207
2021-04-15,12301698
2021-04-16,12639408
2021-04-17,12827106
2021-04-18,12878108
2021-04-19,13082274
2021-04-20,13334723
2021-04-21,13586038
2021-04-22,13871693
2021-04-23,14167019
2021-04-24,14356345
2021-04-25,14425261
2021-04-26,14644801
2021-04-27,14927581
2021-04-28,15225359
2021-04-29,15580466
2021-04-30,15950725
2021-05-01,16115857
2021-05-02,16206632
2021-05-03,16492558
2021-05-04,16805233
2021-05-05,17128357
2021-05-06,17504336
2021-05-07,17874371
2021-05-08,18095051
2021-05-09,18223919
2021-05-10,18532854
2021-05-11,18933570
2021-05-12,19363896
2021-05-13,19699548
2021-05-14,20150130
2021-05-15,20521708
2021-05-16,20723117
2021-05-17,21096340
2021-05-18,21552324
2021-05-19,22016486
2021-05-20,22520148
2021-05-21,23006427
2021-05-22,23351538
2021-05-23,23512212
2021-05-24,23773549
2021-05-25,24170582
2021-05-26,24580986
2021-05-27,25027654
2021-05-28,25454363
2021-05-29,25751768
2021-05-30,25857893
2021-05-31,26213418
2021-06-01,26635550
2021-06-02,27047754
2021-06-03,27505807
2021-06-04,27957119
2021-06-05,28259237
2021-06-06,28390559
2021-06-07,28724803
2021-06-08,29114355
2021-06-09,29494555
2021-06-10,29892553
2021-06-11,30276027
2021-06-12,30557044
2021-06-13,30660800
2021-06-14,30898646
2021-06-15,31203006
2021-06-16,31513404
2021-06-17,31827650
2021-06-18,32146526
2021-06-19,32369440
2021-06-20,32441892
2021-06-21,32634954
2021-06-22,32855519
2021-06-23,33086663
2021-06-24,33325880
2021-06-25,33550241
2021-06-26,33701935
2021-06-27,33757008
2021-06-28,33909622
2021-06-29,34090294
2021-06-30,34291822
2021-07-01,34516663
2021-07-02,34739764
2021-07-03,34879863
2021-07-04,34935649
2021-07-05,35100069
2021-07-06,35293588
2021-07-07,35502374
2021-07-08,35730748
2021-07-09,35956743
2021-07-10,36103473
2021-07-11,36162731
2021-07-12,36329191
2021-07-13,36613871
2021-07-14,36792686
2021-07-15,37136588
2021-07-16,37514030
2021-07-17,37772170
2021-07-18,37881032
2021-07-19,38164294
2021-07-20,38538622
2021-07-21,38931842
2021-07-22,39370048
2021-07-23,39806397
2021-07-24,40090566
2021-07-25,40210786
2021-07-26,40556303
2021-07-27,41017538
2021-07-28,41474141
2021-07-29,41961067
2021-07-30,42420034
2021-07-31,42704286
2021-08-01,42813745
2021-08-02,43148034
2021-08-03,43541360
2021-08-04,43922726
2021-08-05,44285468
2021-08-06,44642072
2021-08-07,44853266
2021-08-08,44925786
2021-08-09,45181864
2021-08-10,45484757
2021-08-11,45761267
2021-08-12,46029979
2021-08-13,46279748
2021-08-14,46423555
2021-08-15,46461169
2021-08-16,46645256
2021-08-17,46858328
2021-08-18,47054950
2021-08-19,47244917
2021-08-20,47428514
2021-08-21,47532272
2021-08-22,47563715
2021-08-23,47703076
2021-08-24,47863795
2021-08-25,48012825
2021-08-26,48153878
2021-08-27,48300321
2021-08-28,48390002
2021-08-29,48416836
2021-08-30,48532316
2021-08-31,48659669
2021-09-01,48778914
2021-09-02,48881446
2021-09-03,48994195
2021-09-04,49081378
2021-09-05,49102092
2021-09-06,49170927
2021-09-07,49244235
2021-09-08,49328000
2021-09-09,49398822
2021-09-10,49487911
2021-09-11,49551871
2021-09-12,49564029
2021-09-13,49621408
2021-09-14,49690336
2021-09-15,49761037
2021-09-16,49820612
2021-09-17,49891371
2021-09-18,49937150
2021-09-19,49944468
2021-09-20,49984030
2021-09-21,50027333
2021-09-22,50072918
2021-09-23,50113640
2021-09-24,50163243
2021-09-25,50195813
2021-09-26,50200862
2021-09-27,50232682
2021-09-28,50267096
2021-09-29,50309159
2021-09-30,50342897
2021-10-01,50387672
2021-10-02,50422607
2021-10-03,50427305
2021-10-04,50454494
2021-10-05,50482515
2021-10-06,50482515
