date,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,totalPrisesRendezVousSemaine,nouvelles_livraisonsNombreTotalDoses,nouvelles_livraisonsNombreDosesPfizer,nouvelles_livraisonsNombreDosesModerna
2020-12-26,,,,,,,,,,,
2020-12-27,,,,,400,,,,58500,58500,
2020-12-28,,,,,423,,,,58500,58500,
2020-12-29,,,,,271,,,,58500,58500,
2020-12-30,,,,,324,,,,58500,58500,
2020-12-31,,,,,254,,,,58500,58500,
2021-01-01,,,,,301,,,,58500,58500,
2021-01-02,,,,,239,,,,58500,58500,
2021-01-03,,,,,276,,,,464100,464100,
2021-01-04,,,,,1772,,,,464100,464100,
2021-01-05,,,,,5713,,,,464100,464100,
2021-01-06,,,,,11618,,,,464100,464100,
2021-01-07,,,,,29076,,,,464100,464100,
2021-01-08,,,,,36735,,,,464100,464100,
2021-01-09,,,,,11078,,,,464100,464100,
2021-01-10,,,,,5769,,,,519675,519675,
2021-01-11,,,,,39641,,,,519675,519675,
2021-01-12,,,,,61671,,,,519675,519675,
2021-01-13,,,,,64629,,,,519675,519675,
2021-01-14,,,,,82029,,,,519675,519675,
2021-01-15,,,,,68525,,,,519675,519675,
2021-01-16,,,,,20034,,,,519675,519675,
2021-01-17,,,,,10810,,,,569325,517725,51600
2021-01-18,,,,,85414,10613,34,10647,569325,517725,51600
2021-01-19,,,,,130081,10613,34,10647,569325,517725,51600
2021-01-20,,,,,137028,10613,34,10647,569325,517725,51600
2021-01-21,,,,,157604,10613,34,10647,569325,517725,51600
2021-01-22,,,,364235,120471,10613,34,10647,569325,517725,51600
2021-01-23,,,,364235,38272,10613,34,10647,569325,517725,51600
2021-01-24,,,,364235,9607,10613,34,10647,390780,390780,0
2021-01-25,,,,333655,77772,11818,267,12085,390780,390780,0
2021-01-26,,,,333655,99957,11818,267,12085,390780,390780,0
2021-01-27,,,,333655,106863,11818,267,12085,390780,390780,0
2021-01-28,,,,333655,123879,11818,267,12085,390780,390780,0
2021-01-29,,,,333655,91785,11818,267,12085,390780,390780,0
2021-01-30,,,,333655,28951,11818,267,12085,390780,390780,0
2021-01-31,,,,298540,5088,11818,267,12085,572130,572130,0
2021-02-01,,,,298540,52293,9741,2156,11897,572130,572130,0
2021-02-02,,,,298540,71695,9741,2156,11897,572130,572130,0
2021-02-03,,,,298540,71827,9741,2156,11897,572130,572130,0
2021-02-04,,,,298540,81499,9741,2156,11897,572130,572130,0
2021-02-05,,,,298540,67815,9741,2156,11897,572130,572130,0
2021-02-06,,,,298540,22171,9741,2156,11897,572130,572130,0
2021-02-07,,,,298540,5033,9741,2156,11897,913110,565110,74400
2021-02-08,,,,298540,46392,8444,4359,12803,913110,565110,74400
2021-02-09,,,,298540,65554,8444,4359,12803,913110,565110,74400
2021-02-10,,,,298540,70234,8444,4359,12803,913110,565110,74400
2021-02-11,,,,298540,86638,8444,4359,12803,913110,565110,74400
2021-02-12,,,,205385,78583,8444,4359,12803,913110,565110,74400
2021-02-13,,,,205385,22022,8444,4359,12803,913110,565110,74400
2021-02-14,,,,205385,4836,8444,4359,12803,1030680,566280,147600
2021-02-15,,,,205385,37569,5792,9733,15525,1030680,566280,147600
2021-02-16,,,,205385,49792,5792,9733,15525,1030680,566280,147600
2021-02-17,,,,205385,49931,5792,9733,15525,1030680,566280,147600
2021-02-18,,,,231294,69040,5792,9733,15525,1030680,566280,147600
2021-02-19,,,,231294,64535,5792,9733,15525,1030680,566280,147600
2021-02-20,,,,231294,18293,5792,9733,15525,1030680,566280,147600
2021-02-21,,,,231294,3113,5792,9733,15525,1231650,684450,0
2021-02-22,,,,231294,37020,7583,11883,19466,1231650,684450,0
2021-02-23,,,,231294,53244,7583,11883,19466,1231650,684450,0
2021-02-24,,,,231294,59255,7583,11883,19466,1231650,684450,0
2021-02-25,,,,231294,99871,7583,11883,19466,1231650,684450,0
2021-02-26,,,,159072,112753,7583,11883,19466,1231650,684450,0
2021-02-27,,,,159072,51721,7583,11883,19466,1231650,684450,0
2021-02-28,,,,159072,5956,7583,11883,19466,702000,702000,0
2021-03-01,,,,159072,64652,21043,10151,31194,702000,702000,0
2021-03-02,,,,159072,100465,21043,10151,31194,702000,702000,0
2021-03-03,,,,159072,115288,21043,10151,31194,702000,702000,0
2021-03-04,,,,159072,162517,21043,10151,31194,702000,702000,0
2021-03-05,,,,159072,199732,21043,10151,31194,702000,702000,0
2021-03-06,,,,159072,207073,21043,10151,31194,702000,702000,0
2021-03-07,,,,159072,120734,21043,10151,31194,1504020,755820,277200
2021-03-08,,,,35988,106215,25321,8366,33687,1504020,755820,277200
2021-03-09,,,,35988,171446,25321,8366,33687,1504020,755820,277200
2021-03-10,,,,35988,177567,25321,8366,33687,1504020,755820,277200
2021-03-11,,,,35988,241539,25321,8366,33687,1504020,755820,277200
2021-03-12,,,,35988,293520,25321,8366,33687,1504020,755820,277200
2021-03-13,,,,35988,230358,25321,8366,33687,1504020,755820,277200
2021-03-14,,,,35988,62884,25321,8366,33687,1544280,800280,0
2021-03-15,,,,35988,157448,32118,7139,39258,1544280,800280,0
2021-03-16,,,,24792,140601,32118,7139,39258,1544280,800280,0
2021-03-17,,,,24792,149541,32118,7139,39258,1544280,800280,0
2021-03-18,,,,24792,166725,32118,7139,39258,1544280,800280,0
2021-03-19,,,,4780,228863,32118,7139,39258,1544280,800280,0
2021-03-20,,,,4780,165919,32118,7139,39258,1544280,800280,0
2021-03-21,,,,4780,49413,32118,7139,39258,1491480,800280,372000
2021-03-22,,,,4780,168858,39517,8608,48125,1491480,800280,372000
2021-03-23,,,,717552,249025,39517,8608,48125,1491480,800280,372000
2021-03-24,,,,717552,255586,39517,8608,48125,1491480,800280,372000
2021-03-25,,,,717552,340478,39517,8608,48125,1491480,800280,372000
2021-03-26,,,,1225188,357536,39517,8608,48125,1491480,800280,372000
2021-03-27,,,,1225188,194509,39517,8608,48125,1491480,800280,372000
2021-03-28,,,,1225188,58905,39517,8608,48125,1394790,1248390,0
2021-03-29,,,,1225188,202030,40914,18116,59030,1394790,1248390,0
2021-03-30,,,,1040340,284107,40914,18116,59030,1394790,1248390,0
2021-03-31,,,,1040340,261718,40914,18116,59030,1394790,1248390,0
2021-04-01,,,,1363200,313177,40914,18116,59030,1394790,1248390,0
2021-04-02,,,,1363200,279988,40914,18116,59030,1394790,1248390,0
2021-04-03,,,,1363200,140200,40914,18116,59030,1394790,1248390,0
2021-04-04,,,,1363200,45396,40914,18116,59030,1574820,1247220,171600
2021-04-05,,,,939360,59702,44508,21306,65815,1574820,1247220,171600
2021-04-06,,,,939360,215572,44508,21306,65815,1574820,1247220,171600
2021-04-07,,,,939360,258385,44508,21306,65815,1574820,1247220,171600
2021-04-08,,,,939360,335724,44508,21306,65815,1574820,1247220,171600
2021-04-09,,,,939360,408220,44508,21306,65815,1574820,1247220,171600
2021-04-10,,,,939360,211557,44508,21306,65815,1574820,1247220,171600
2021-04-11,,,,939360,55509,44508,21306,65815,3687270,1838070,385200
2021-04-12,,,,1298640,235547,47790,32012,79806,3687270,1838070,385200
2021-04-13,,,,1298640,307724,47790,32012,79806,3687270,1838070,385200
2021-04-14,,,,1558674,292209,47790,32012,79806,3687270,1838070,385200
2021-04-15,,,,1558674,334491,47790,32012,79806,3687270,1838070,385200
2021-04-16,,,,1558674,337710,47790,32012,79806,3687270,1838070,385200
2021-04-17,,,,1558674,187698,47790,32012,79806,3687270,1838070,385200
2021-04-18,,,,1558674,51002,47790,32012,79806,2495670,1838070,465600
2021-04-19,,,,1146588,204166,48324,36962,85289,2495670,1838070,465600
2021-04-20,,,,1146588,252449,48324,36962,85289,2495670,1838070,465600
2021-04-21,,,,1146588,251315,48324,36962,85289,2495670,1838070,465600
2021-04-22,,,,1146588,285655,48324,36962,85289,2495670,1838070,465600
2021-04-23,,,,1926042,295326,48324,36962,85289,2495670,1838070,465600
2021-04-24,,,,1926042,189326,48324,36962,85289,2495670,1838070,465600
2021-04-25,,,,1926042,68916,48324,36962,85289,2519670,1838070,0
2021-04-26,,,,1926042,219540,54277,42497,96775,2519670,1838070,0
2021-04-27,,,,1122408,282780,54277,42497,96775,2519670,1838070,0
2021-04-28,,,,1122408,297778,54277,42497,96775,2519670,1838070,0
2021-04-29,,,,1122408,355107,54277,42497,96775,2519670,1838070,0
2021-04-30,,,,1122408,370259,54277,42497,96775,2519670,1838070,0
2021-05-01,,,,1122408,165132,54277,42497,96775,2519670,1838070,0
2021-05-02,,,,1122408,90775,54277,42497,96775,2953710,2577510,266400
2021-05-03,,,,1122408,285926,66217,45054,111272,2953710,2577510,266400
2021-05-04,,,,2504694,312675,66217,45054,111272,2953710,2577510,266400
2021-05-05,,,,2504694,323124,66217,45054,111272,2953710,2577510,266400
2021-05-06,,,,2332452,375979,66217,45054,111272,2953710,2577510,266400
2021-05-07,,,,2332452,370035,66217,45054,111272,2953710,2577510,266400
2021-05-08,,,,2332452,220680,66217,45054,111272,2953710,2577510,266400
2021-05-09,,,,2332452,128868,66217,45054,111272,5178240,2517840,303600
2021-05-10,,,,2332452,308935,101995,33249,135247,5178240,2517840,303600
2021-05-11,,,,2570886,400716,101995,33249,135247,5178240,2517840,303600
2021-05-12,,,,2570886,430326,101995,33249,135247,5178240,2517840,303600
2021-05-13,,,,2570886,335652,101995,33249,135247,5178240,2517840,303600
2021-05-14,,,,2570886,450582,101995,33249,135247,5178240,2517840,303600
2021-05-15,,,,2570886,371578,101995,33249,135247,5178240,2517840,303600
2021-05-16,,,,2570886,201409,101995,33249,135247,3327810,2519010,444000
2021-05-17,,,,2570886,373223,95913,26804,122728,3327810,2519010,444000
2021-05-18,,,,2570886,455984,95913,26804,122728,3327810,2519010,444000
2021-05-19,,,,2570886,464162,95913,26804,122728,3327810,2519010,444000
2021-05-20,2531223,1858068,442570,2357220,503662,95913,26804,122728,3327810,2519010,444000
2021-05-21,2531223,1858068,442570,2357220,486279,95913,26804,122728,3327810,2519010,444000
2021-05-22,2531223,1858068,442570,2357220,345111,95913,26804,122728,3327810,2519010,444000
2021-05-23,2531223,1858068,442570,2357220,160674,95913,26804,122728,3523310,2519010,444000
2021-05-24,2531223,1858068,442570,2357220,261337,71101,32006,103121,3523310,2519010,444000
2021-05-25,2531223,1858068,442570,2357220,397033,71101,32006,103121,3523310,2519010,444000
2021-05-26,2531223,1858068,442570,2357220,410404,71101,32006,103121,3523310,2519010,444000
2021-05-27,1960225,1368900,385570,1993122,446668,71101,32006,103121,3523310,2519010,444000
2021-05-28,1960225,1368900,385570,1993122,426709,71101,32006,103121,3523310,2519010,444000
2021-05-29,1960225,1368900,385570,1993122,297405,71101,32006,103121,3523310,2519010,444000
2021-05-30,1960225,1368900,385570,1993122,106125,71101,32006,103121,3196980,2520180,444000
