date,cumulPremieresInjections
2020-12-26,
2020-12-27,17
2020-12-28,75
2020-12-29,181
2020-12-30,293
2020-12-31,374
2021-01-01,426
2021-01-02,497
2021-01-03,582
2021-01-04,2042
2021-01-05,7367
2021-01-06,18585
2021-01-07,46958
2021-01-08,82767
2021-01-09,93620
2021-01-10,99215
2021-01-11,137819
2021-01-12,197754
2021-01-13,260695
2021-01-14,339689
2021-01-15,406346
2021-01-16,425896
2021-01-17,436320
2021-01-18,520161
2021-01-19,647600
2021-01-20,781595
2021-01-21,935557
2021-01-22,1053023
2021-01-23,1090710
2021-01-24,1100009
2021-01-25,1176385
2021-01-26,1274336
2021-01-27,1379450
2021-01-28,1500801
2021-01-29,1591057
2021-01-30,1619636
2021-01-31,1624485
2021-02-01,1675717
2021-02-02,1745733
2021-02-03,1816243
2021-02-04,1896073
2021-02-05,1962511
2021-02-06,1983680
2021-02-07,1988485
2021-02-08,2034107
2021-02-09,2098450
2021-02-10,2167047
2021-02-11,2251659
2021-02-12,2328490
2021-02-13,2349981
2021-02-14,2354508
2021-02-15,2391140
2021-02-16,2439749
2021-02-17,2488581
2021-02-18,2555351
2021-02-19,2618200
2021-02-20,2636022
2021-02-21,2638857
2021-02-22,2674756
2021-02-23,2726618
2021-02-24,2783689
2021-02-25,2880664
2021-02-26,2990766
2021-02-27,3040889
2021-02-28,3046472
2021-03-01,3108934
2021-03-02,3206729
2021-03-03,3318280
2021-03-04,3474964
2021-03-05,3669039
2021-03-06,3869272
2021-03-07,3987078
2021-03-08,4089742
2021-03-09,4256173
2021-03-10,4428080
2021-03-11,4662808
2021-03-12,4948499
2021-03-13,5171546
2021-03-14,5232644
2021-03-15,5385367
2021-03-16,5522104
2021-03-17,5666565
2021-03-18,5827976
2021-03-19,6049951
2021-03-20,6211643
2021-03-21,6259682
2021-03-22,6423551
2021-03-23,6665448
2021-03-24,6914810
2021-03-25,7244904
2021-03-26,7592665
2021-03-27,7782591
2021-03-28,7839849
2021-03-29,8033342
2021-03-30,8303857
2021-03-31,8548729
2021-04-01,8833275
2021-04-02,8833275
