date,cumulPremieresInjections
2020-12-26,
2020-12-27,17
2020-12-28,75
2020-12-29,181
2020-12-30,293
2020-12-31,375
2021-01-01,430
2021-01-02,501
2021-01-03,588
2021-01-04,2049
2021-01-05,7381
2021-01-06,18615
2021-01-07,47035
2021-01-08,82866
2021-01-09,93728
2021-01-10,99327
2021-01-11,137975
2021-01-12,198008
2021-01-13,261123
2021-01-14,340349
2021-01-15,407094
2021-01-16,426651
2021-01-17,437081
2021-01-18,520968
2021-01-19,648475
2021-01-20,782568
2021-01-21,936712
2021-01-22,1054307
2021-01-23,1092011
2021-01-24,1101325
2021-01-25,1177729
2021-01-26,1275779
2021-01-27,1380955
2021-01-28,1502464
2021-01-29,1592858
2021-01-30,1621439
2021-01-31,1626293
2021-02-01,1677558
2021-02-02,1747620
2021-02-03,1818196
2021-02-04,1898121
2021-02-05,1964668
2021-02-06,1985849
2021-02-07,1990659
2021-02-08,2036327
2021-02-09,2100755
2021-02-10,2169446
2021-02-11,2254154
2021-02-12,2331089
2021-02-13,2352618
2021-02-14,2357148
2021-02-15,2393818
2021-02-16,2442475
2021-02-17,2491329
2021-02-18,2558232
2021-02-19,2621288
2021-02-20,2639118
2021-02-21,2641954
2021-02-22,2677889
2021-02-23,2729851
2021-02-24,2787055
2021-02-25,2884157
2021-02-26,2994460
2021-02-27,3044846
2021-02-28,3050443
2021-03-01,3113055
2021-03-02,3211157
2021-03-03,3323000
2021-03-04,3480186
2021-03-05,3675198
2021-03-06,3876900
2021-03-07,3995470
2021-03-08,4098878
2021-03-09,4266562
2021-03-10,4440054
2021-03-11,4676466
2021-03-12,4963862
2021-03-13,5189218
2021-03-14,5250807
2021-03-15,5404234
2021-03-16,5541637
2021-03-17,5686930
2021-03-18,5849267
2021-03-19,6072130
2021-03-20,6234655
2021-03-21,6282902
2021-03-22,6447680
2021-03-23,6691031
2021-03-24,6941319
2021-03-25,7273190
2021-03-26,7623080
2021-03-27,7813769
2021-03-28,7871097
2021-03-29,8067984
2021-03-30,8344078
2021-03-31,8597141
2021-04-01,8896338
2021-04-02,9167513
2021-04-03,9304441
2021-04-04,9348660
2021-04-05,9406575
2021-04-06,9606929
2021-04-07,9853255
2021-04-08,10171130
2021-04-09,10555997
2021-04-10,10761243
2021-04-11,10814693
2021-04-12,10814693
