date,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,totalPrisesRendezVousSemaine,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,nouvelles_livraisonsNombreTotalDoses,nouvelles_livraisonsNombreDosesPfizer,nouvelles_livraisonsNombreDosesModerna
2020-12-26,,,,,,,,,,,
2020-12-27,,,,,17,,,,48750,48750,
2020-12-28,,,,,58,,,,48750,48750,
2020-12-29,,,,,106,,,,48750,48750,
2020-12-30,,,,,112,,,,48750,48750,
2020-12-31,,,,,81,,,,48750,48750,
2021-01-01,,,,,53,,,,48750,48750,
2021-01-02,,,,,71,,,,48750,48750,
2021-01-03,,,,,86,,,,85800,85800,
2021-01-04,,,,,1460,,,,85800,85800,
2021-01-05,,,,,5329,,,,85800,85800,
2021-01-06,,,,,11232,,,,85800,85800,
2021-01-07,,,,,28417,,,,85800,85800,
2021-01-08,,,,,35816,,,,85800,85800,
2021-01-09,,,,,10859,,,,85800,85800,
2021-01-10,,,,,5595,,,,456240,456240,
2021-01-11,,,,,38628,,,,456240,456240,
2021-01-12,,,,,59954,,,,456240,456240,
2021-01-13,,,,,62984,,,,456240,456240,
2021-01-14,,,,,79090,,,,456240,456240,
2021-01-15,,,,,66676,,,,456240,456240,
2021-01-16,,,,,19550,,,,456240,456240,
2021-01-17,,,,,10427,,,,501765,501765,0
2021-01-18,,,,,83849,379072,378195,877,501765,501765,0
2021-01-19,,,,,127447,379072,378195,877,501765,501765,0
2021-01-20,,,,,134036,379072,378195,877,501765,501765,0
2021-01-21,,,,,154055,379072,378195,877,501765,501765,0
2021-01-22,419245,403615,15630,364235,117514,379072,378195,877,501765,501765,0
2021-01-23,419245,403615,15630,364235,37688,379072,378195,877,501765,501765,0
2021-01-24,472686,459036,13650,364235,9302,379072,378195,877,508470,456870,51600
2021-01-25,472686,459036,13650,333655,76376,370991,340237,30754,508470,456870,51600
2021-01-26,472686,459036,13650,333655,97994,370991,340237,30754,508470,456870,51600
2021-01-27,472686,459036,13650,333655,105128,370991,340237,30754,508470,456870,51600
2021-01-28,472686,459036,13650,333655,121357,370991,340237,30754,508470,456870,51600
2021-01-29,472686,459036,13650,333655,90267,370991,340237,30754,508470,456870,51600
2021-01-30,472686,459036,13650,333655,28581,370991,340237,30754,508470,456870,51600
2021-01-31,492954,451674,41280,298540,4849,370991,340237,30754,589725,589725,0
2021-02-01,492954,451674,41280,298540,51235,375019,263696,111323,589725,589725,0
2021-02-02,492954,451674,41280,298540,70024,375019,263696,111323,589725,589725,0
2021-02-03,492954,451674,41280,298540,70517,375019,263696,111323,589725,589725,0
2021-02-04,492954,451674,41280,298540,79855,375019,263696,111323,589725,589725,0
2021-02-05,492954,451674,41280,298540,66448,375019,263696,111323,589725,589725,0
2021-02-06,492954,451674,41280,298540,21169,375019,263696,111323,589725,589725,0
2021-02-07,492954,451674,41280,298540,4809,375019,263696,111323,894030,546030,74400
2021-02-08,492954,451674,41280,298540,45625,422573,252415,170158,894030,546030,74400
2021-02-09,492954,451674,41280,298540,64350,422573,252415,170158,894030,546030,74400
2021-02-10,492954,451674,41280,298540,68615,422573,252415,170158,894030,546030,74400
2021-02-11,492954,451674,41280,298540,84642,422573,252415,170158,894030,546030,74400
2021-02-12,859676,416616,128000,205385,76875,422573,252415,170158,894030,546030,74400
2021-02-13,859676,416616,128000,205385,21497,422573,252415,170158,894030,546030,74400
2021-02-14,859676,416616,128000,205385,4527,422573,252415,170158,1114105,650305,147000
2021-02-15,859676,416616,128000,205385,36635,524106,175659,348447,1114105,650305,147000
2021-02-16,859676,416616,128000,205385,48641,524106,175659,348447,1114105,650305,147000
2021-02-17,859676,416616,128000,205385,48836,524106,175659,348447,1114105,650305,147000
2021-02-18,859676,416616,128000,231294,66783,524106,175659,348447,1114105,650305,147000
2021-02-19,859676,416616,128000,231294,62912,524106,175659,348447,1114105,650305,147000
2021-02-20,859676,416616,128000,231294,17822,524106,175659,348447,1114105,650305,147000
2021-02-21,859676,416616,128000,231294,2835,524106,175659,348447,1277375,730175,0
2021-02-22,859676,416616,128000,231294,35923,529849,202998,326851,1277375,730175,0
2021-02-23,859676,416616,128000,231294,51902,529849,202998,326851,1277375,730175,0
2021-02-24,859676,416616,128000,231294,57107,529849,202998,326851,1277375,730175,0
2021-02-25,859676,416616,128000,231294,97004,529849,202998,326851,1277375,730175,0
2021-02-26,925186,635316,62050,159072,110187,529849,202998,326851,1277375,730175,0
2021-02-27,925186,635316,62050,159072,50168,529849,202998,326851,1277375,730175,0
2021-02-28,925186,635316,62050,159072,5584,529849,202998,326851,745340,745340,0
2021-03-01,925186,635316,62050,159072,62509,774433,514483,259950,745340,745340,0
2021-03-02,925186,635316,62050,159072,97920,774433,514483,259950,745340,745340,0
2021-03-03,925186,635316,62050,159072,111672,774433,514483,259950,745340,745340,0
2021-03-04,925186,635316,62050,159072,156876,774433,514483,259950,745340,745340,0
2021-03-05,925186,635316,62050,159072,194606,774433,514483,259950,745340,745340,0
2021-03-06,925186,635316,62050,159072,201055,774433,514483,259950,745340,745340,0
2021-03-07,925186,635316,62050,159072,118214,774433,514483,259950,1575060,826860,277200
2021-03-08,919224,594474,226960,35988,102789,819578,594165,225413,1575060,826860,277200
2021-03-09,919224,594474,226960,35988,166513,819578,594165,225413,1575060,826860,277200
2021-03-10,919224,594474,226960,35988,172110,819578,594165,225413,1575060,826860,277200
2021-03-11,919224,594474,226960,35988,234860,819578,594165,225413,1575060,826860,277200
2021-03-12,919224,594474,226960,35988,285865,819578,594165,225413,1575060,826860,277200
2021-03-13,919224,594474,226960,35988,223175,819578,594165,225413,1575060,826860,277200
2021-03-14,919224,594474,226960,35988,61123,819578,594165,225413,1521585,777585,0
2021-03-15,919224,594474,226960,35988,152775,880149,739158,140991,1521585,777585,0
2021-03-16,919224,594474,226960,24792,136895,880149,739158,140991,1521585,777585,0
2021-03-17,919224,594474,226960,24792,144689,880149,739158,140991,1521585,777585,0
2021-03-18,919224,594474,226960,24792,161606,880149,739158,140991,1521585,777585,0
2021-03-19,1008668,664548,307790,4780,222118,880149,739158,140991,1521585,777585,0
2021-03-20,1008668,664548,307790,4780,161866,880149,739158,140991,1521585,777585,0
2021-03-21,1008668,664548,307790,4780,48086,880149,739158,140991,1488095,825695,343200
2021-03-22,1008668,664548,307790,4780,163935,1064704,886086,178618,1488095,825695,343200
2021-03-23,1008668,664548,307790,717552,242039,1064704,886086,178618,1488095,825695,343200
2021-03-24,1008668,664548,307790,717552,249724,1064704,886086,178618,1488095,825695,343200
2021-03-25,1008668,664548,307790,717552,330609,1064704,886086,178618,1488095,825695,343200
2021-03-26,1142570,944430,168340,1225188,348551,1064704,886086,178618,1488095,825695,343200
2021-03-27,1142570,944430,168340,1225188,190126,1064704,886086,178618,1488095,825695,343200
2021-03-28,1142570,944430,168340,1225188,57302,1064704,886086,178618,1300020,1153620,0
2021-03-29,1142570,944430,168340,1225188,194071,1251125,841701,409424,1300020,1153620,0
2021-03-30,1142570,944430,168340,1040340,271788,1251125,841701,409424,1300020,1153620,0
2021-03-31,998244,752934,215170,1040340,247841,1251125,841701,409424,1300020,1153620,0
2021-04-01,998244,752934,215170,1363200,293096,1251125,841701,409424,1300020,1153620,0
2021-04-02,1398712,935742,429160,1363200,263919,1251125,841701,409424,1300020,1153620,0
2021-04-03,1398712,935742,429160,1363200,135176,1251125,841701,409424,1300020,1153620,0
2021-04-04,1398712,935742,429160,1363200,43061,1251125,841701,409424,1553730,1227330,170400
2021-04-05,1398712,935742,429160,1363200,43061,1082995,564720,518275,1553730,1227330,170400
