date,stockNombreTotalDoses,stockNombreDosesPfizer,stockNombreDosesModerna,stockEhpadNombreDosesPfizer,nouvellesPremieresInjections,totalPrisesRendezVousSemaine,prisesRendezVousSemaineRang1,prisesRendezVousSemaineRang2,nouvelles_livraisonsNombreTotalDoses,nouvelles_livraisonsNombreDosesPfizer,nouvelles_livraisonsNombreDosesModerna
2020-12-26,,,,,,,,,,,
2020-12-27,,,,,17,,,,48750,48750,
2020-12-28,,,,,58,,,,48750,48750,
2020-12-29,,,,,106,,,,48750,48750,
2020-12-30,,,,,112,,,,48750,48750,
2020-12-31,,,,,82,,,,48750,48750,
2021-01-01,,,,,55,,,,48750,48750,
2021-01-02,,,,,71,,,,48750,48750,
2021-01-03,,,,,87,,,,85800,85800,
2021-01-04,,,,,1461,,,,85800,85800,
2021-01-05,,,,,5332,,,,85800,85800,
2021-01-06,,,,,11234,,,,85800,85800,
2021-01-07,,,,,28420,,,,85800,85800,
2021-01-08,,,,,35831,,,,85800,85800,
2021-01-09,,,,,10862,,,,85800,85800,
2021-01-10,,,,,5599,,,,456240,456240,
2021-01-11,,,,,38648,,,,456240,456240,
2021-01-12,,,,,60033,,,,456240,456240,
2021-01-13,,,,,63115,,,,456240,456240,
2021-01-14,,,,,79226,,,,456240,456240,
2021-01-15,,,,,66745,,,,456240,456240,
2021-01-16,,,,,19557,,,,456240,456240,
2021-01-17,,,,,10430,,,,501765,501765,0
2021-01-18,,,,,83887,380051,379174,877,501765,501765,0
2021-01-19,,,,,127507,380051,379174,877,501765,501765,0
2021-01-20,,,,,134093,380051,379174,877,501765,501765,0
2021-01-21,,,,,154144,380051,379174,877,501765,501765,0
2021-01-22,419245,403615,15630,364235,117595,380051,379174,877,501765,501765,0
2021-01-23,419245,403615,15630,364235,37704,380051,379174,877,501765,501765,0
2021-01-24,472686,459036,13650,364235,9314,380051,379174,877,508470,456870,51600
2021-01-25,472686,459036,13650,333655,76404,371944,341189,30755,508470,456870,51600
2021-01-26,472686,459036,13650,333655,98050,371944,341189,30755,508470,456870,51600
2021-01-27,472686,459036,13650,333655,105176,371944,341189,30755,508470,456870,51600
2021-01-28,472686,459036,13650,333655,121509,371944,341189,30755,508470,456870,51600
2021-01-29,472686,459036,13650,333655,90394,371944,341189,30755,508470,456870,51600
2021-01-30,472686,459036,13650,333655,28581,371944,341189,30755,508470,456870,51600
2021-01-31,492954,451674,41280,298540,4854,371944,341189,30755,589725,589725,0
2021-02-01,492954,451674,41280,298540,51265,375898,263919,111979,589725,589725,0
2021-02-02,492954,451674,41280,298540,70062,375898,263919,111979,589725,589725,0
2021-02-03,492954,451674,41280,298540,70576,375898,263919,111979,589725,589725,0
2021-02-04,492954,451674,41280,298540,79925,375898,263919,111979,589725,589725,0
2021-02-05,492954,451674,41280,298540,66547,375898,263919,111979,589725,589725,0
2021-02-06,492954,451674,41280,298540,21181,375898,263919,111979,589725,589725,0
2021-02-07,492954,451674,41280,298540,4810,375898,263919,111979,894030,546030,74400
2021-02-08,492954,451674,41280,298540,45668,423671,252551,171120,894030,546030,74400
2021-02-09,492954,451674,41280,298540,64428,423671,252551,171120,894030,546030,74400
2021-02-10,492954,451674,41280,298540,68691,423671,252551,171120,894030,546030,74400
2021-02-11,492954,451674,41280,298540,84708,423671,252551,171120,894030,546030,74400
2021-02-12,859676,416616,128000,205385,76935,423671,252551,171120,894030,546030,74400
2021-02-13,859676,416616,128000,205385,21529,423671,252551,171120,894030,546030,74400
2021-02-14,859676,416616,128000,205385,4530,423671,252551,171120,1114105,650305,147000
2021-02-15,859676,416616,128000,205385,36670,525313,175922,349391,1114105,650305,147000
2021-02-16,859676,416616,128000,205385,48657,525313,175922,349391,1114105,650305,147000
2021-02-17,859676,416616,128000,205385,48854,525313,175922,349391,1114105,650305,147000
2021-02-18,859676,416616,128000,231294,66903,525313,175922,349391,1114105,650305,147000
2021-02-19,859676,416616,128000,231294,63056,525313,175922,349391,1114105,650305,147000
2021-02-20,859676,416616,128000,231294,17830,525313,175922,349391,1114105,650305,147000
2021-02-21,859676,416616,128000,231294,2836,525313,175922,349391,1277375,730175,0
2021-02-22,859676,416616,128000,231294,35935,530316,203188,327128,1277375,730175,0
2021-02-23,859676,416616,128000,231294,51962,530316,203188,327128,1277375,730175,0
2021-02-24,859676,416616,128000,231294,57204,530316,203188,327128,1277375,730175,0
2021-02-25,859676,416616,128000,231294,97102,530316,203188,327128,1277375,730175,0
2021-02-26,925186,635316,62050,159072,110303,530316,203188,327128,1277375,730175,0
2021-02-27,925186,635316,62050,159072,50386,530316,203188,327128,1277375,730175,0
2021-02-28,925186,635316,62050,159072,5597,530316,203188,327128,745340,745340,0
2021-03-01,925186,635316,62050,159072,62612,776024,515920,260104,745340,745340,0
2021-03-02,925186,635316,62050,159072,98102,776024,515920,260104,745340,745340,0
2021-03-03,925186,635316,62050,159072,111843,776024,515920,260104,745340,745340,0
2021-03-04,925186,635316,62050,159072,157186,776024,515920,260104,745340,745340,0
2021-03-05,925186,635316,62050,159072,195012,776024,515920,260104,745340,745340,0
2021-03-06,925186,635316,62050,159072,201702,776024,515920,260104,745340,745340,0
2021-03-07,925186,635316,62050,159072,118570,776024,515920,260104,1575060,826860,277200
2021-03-08,919224,594474,226960,35988,103408,821069,595452,225617,1575060,826860,277200
2021-03-09,919224,594474,226960,35988,167684,821069,595452,225617,1575060,826860,277200
2021-03-10,919224,594474,226960,35988,173492,821069,595452,225617,1575060,826860,277200
2021-03-11,919224,594474,226960,35988,236412,821069,595452,225617,1575060,826860,277200
2021-03-12,919224,594474,226960,35988,287396,821069,595452,225617,1575060,826860,277200
2021-03-13,919224,594474,226960,35988,225356,821069,595452,225617,1575060,826860,277200
2021-03-14,919224,594474,226960,35988,61589,821069,595452,225617,1521585,777585,0
2021-03-15,919224,594474,226960,35988,153427,881805,740704,141101,1521585,777585,0
2021-03-16,919224,594474,226960,24792,137403,881805,740704,141101,1521585,777585,0
2021-03-17,919224,594474,226960,24792,145293,881805,740704,141101,1521585,777585,0
2021-03-18,919224,594474,226960,24792,162337,881805,740704,141101,1521585,777585,0
2021-03-19,1008668,664548,307790,4780,222863,881805,740704,141101,1521585,777585,0
2021-03-20,1008668,664548,307790,4780,162525,881805,740704,141101,1521585,777585,0
2021-03-21,1008668,664548,307790,4780,48247,881805,740704,141101,1488095,825695,343200
2021-03-22,1008668,664548,307790,4780,164778,1067229,887991,179238,1488095,825695,343200
2021-03-23,1008668,664548,307790,717552,243351,1067229,887991,179238,1488095,825695,343200
2021-03-24,1008668,664548,307790,717552,250288,1067229,887991,179238,1488095,825695,343200
2021-03-25,1008668,664548,307790,717552,331871,1067229,887991,179238,1488095,825695,343200
2021-03-26,1142570,944430,168340,1225188,349890,1067229,887991,179238,1488095,825695,343200
2021-03-27,1142570,944430,168340,1225188,190689,1067229,887991,179238,1488095,825695,343200
2021-03-28,1142570,944430,168340,1225188,57328,1067229,887991,179238,1300020,1153620,0
2021-03-29,1142570,944430,168340,1225188,196887,1301325,886972,414353,1300020,1153620,0
2021-03-30,1142570,944430,168340,1040340,276094,1301325,886972,414353,1300020,1153620,0
2021-03-31,998244,752934,215170,1040340,253063,1301325,886972,414353,1300020,1153620,0
2021-04-01,998244,752934,215170,1363200,299197,1301325,886972,414353,1300020,1153620,0
2021-04-02,1398712,935742,429160,1363200,271175,1301325,886972,414353,1300020,1153620,0
2021-04-03,1398712,935742,429160,1363200,136928,1301325,886972,414353,1300020,1153620,0
2021-04-04,1398712,935742,429160,1363200,44219,1301325,886972,414353,1615445,1289045,170400
2021-04-05,1398712,935742,429160,939360,57915,1311066,792368,518698,1615445,1289045,170400
2021-04-06,1398712,935742,429160,939360,200354,1311066,792368,518698,1615445,1289045,170400
2021-04-07,1636746,1216596,390420,939360,246326,1311066,792368,518698,1615445,1289045,170400
2021-04-08,1636746,1216596,390420,939360,317875,1311066,792368,518698,1615445,1289045,170400
2021-04-09,1636746,1216596,390420,939360,384867,1311066,792368,518698,1615445,1289045,170400
2021-04-10,1636746,1216596,390420,939360,205246,1311066,792368,518698,1615445,1289045,170400
2021-04-11,1636746,1216596,390420,939360,53450,1311066,792368,518698,3731790,1894590,373200
2021-04-12,1636746,1216596,390420,939360,53450,1195546,458168,737378,3731790,1894590,373200
