date,S,I,R,r0,nouvellesPremieresInjections,Taux de vaccination
2020-12-27,64440314,132370,2427316,0.96,17,0.0
2020-12-28,64437354,119656,2442990,0.96,58,0.0
2020-12-29,64425959,113486,2460555,0.97,106,0.0
2020-12-30,64399502,127144,2473354,0.98,112,0.0
2020-12-31,64379575,141274,2479151,1,81,0.0
2021-01-01,64360227,148827,2490946,1.03,52,0.0
2021-01-02,64356761,137364,2505875,1.06,71,0.0
2021-01-03,64344272,128219,2527509,1.09,85,0.0
2021-01-04,64340250,111979,2547771,1.12,1460,0.0
2021-01-05,64319761,129375,2550864,1.14,5325,0.0
2021-01-06,64294382,145932,2559686,1.17,11218,1.0E-4
2021-01-07,64272679,164675,2562646,1.18,28373,4.0E-4
2021-01-08,64252865,173094,2574041,1.19,35809,5.0E-4
2021-01-09,64232688,166814,2600498,1.19,10853,1.0E-4
2021-01-10,64216744,162831,2620425,1.18,5595,0.0
2021-01-11,64213162,147065,2639773,1.17,38604,5.0E-4
2021-01-12,64193410,163351,2643239,1.15,59935,8.0E-4
2021-01-13,64169558,174714,2655728,1.14,62941,9.0E-4
2021-01-14,64148330,191920,2659750,1.12,78994,0.0011
2021-01-15,64127059,192702,2680239,1.11,66657,9.0E-4
2021-01-16,64105653,188729,2705618,1.1,19550,2.0E-4
2021-01-17,64089011,183668,2727321,1.09,10424,1.0E-4
2021-01-18,64085275,167590,2747135,1.09,83841,0.0012
2021-01-19,64061667,171021,2767312,1.09,127439,0.0019
2021-01-20,64034883,181861,2783256,1.09,133995,0.0019
2021-01-21,64012035,201127,2786838,1.09,153962,0.0022
2021-01-22,63988743,204667,2806590,1.08,117466,0.0017
2021-01-23,63964819,204739,2830442,1.08,37687,5.0E-4
2021-01-24,63946383,201947,2851670,1.08,9299,1.0E-4
2021-01-25,63942143,184916,2872941,1.07,76376,0.0011
2021-01-26,63920057,185596,2894347,1.06,97951,0.0014
2021-01-27,63893141,195870,2910989,1.06,105114,0.0015
2021-01-28,63869371,215904,2914725,1.05,121351,0.0018
2021-01-29,63846513,215154,2938333,1.04,90256,0.0013
2021-01-30,63822121,212762,2965117,1.04,28579,4.0E-4
2021-01-31,63802886,209149,2987965,1.03,4849,0.0
2021-02-01,63798539,190204,3011257,1.02,51232,7.0E-4
2021-02-02,63775202,189617,3035181,1.01,70016,0.001
2021-02-03,63748840,197543,3053617,1.01,70510,0.001
2021-02-04,63725392,216751,3057857,1,79830,0.0011
2021-02-05,63703253,216804,3079943,0.99,66438,9.0E-4
2021-02-06,63682667,210474,3106859,0.97,21169,3.0E-4
2021-02-07,63662952,206419,3130629,0.97,4805,0.0
2021-02-08,63658635,187878,3153487,0.96,45622,6.0E-4
2021-02-09,63639765,182356,3177879,0.95,64343,9.0E-4
2021-02-10,63614378,188508,3197114,0.94,68597,0.001
2021-02-11,63593315,205224,3201461,0.94,84612,0.0012
2021-02-12,63572614,202588,3224798,0.94,76831,0.0011
2021-02-13,63551383,197457,3251160,0.94,21491,3.0E-4
2021-02-14,63534837,190555,3274608,0.95,4527,0.0
2021-02-15,63530461,172792,3296747,0.96,36632,5.0E-4
2021-02-16,63510871,171796,3317333,0.97,48609,7.0E-4
2021-02-17,63485853,177099,3337048,0.99,48832,7.0E-4
2021-02-18,63463352,195283,3341365,1.01,66770,9.0E-4
