date,S,V,I,R,r0,nouveau_tx_vaccination
2020-12-27,64440297,17,132370,2427316,0.96,2.638100814463968E-7
2020-12-28,64437279,75,119656,2442990,0.96,9.001000802656487E-7
2020-12-29,64425778,181,113486,2460555,0.97,1.6453041513910784E-6
2020-12-30,64399209,293,127144,2473354,0.98,1.7391517961035827E-6
2020-12-31,64379201,374,141274,2479151,1,1.2581703211880495E-6
2021-01-01,64359800,427,148827,2490946,1.03,8.234954117321682E-7
2021-01-02,64356263,498,137364,2505875,1.06,1.1032337287825429E-6
2021-01-03,64343688,584,128219,2527509,1.09,1.3365724389313837E-6
2021-01-04,64338206,2044,111979,2547771,1.12,2.2692581760828085E-5
2021-01-05,64312388,7373,129375,2550864,1.14,8.286117442878968E-5
2021-01-06,64275777,18605,145932,2559686,1.17,1.7474701239317573E-4
2021-01-07,64225657,47022,164675,2562646,1.18,4.424555750360016E-4
2021-01-08,64170027,82838,173094,2574041,1.19,5.581421993168243E-4
2021-01-09,64138991,93697,166814,2600498,1.19,1.6930419126799174E-4
2021-01-10,64117452,99292,162831,2620425,1.18,8.726173335771359E-5
2021-01-11,64075242,137920,147065,2639773,1.17,6.028537512195428E-4
2021-01-12,63995536,197874,163351,2643239,1.15,9.368465950500048E-4
2021-01-13,63908700,260858,174714,2655728,1.14,9.855309214551384E-4
2021-01-14,63808382,339948,191920,2659750,1.12,0.001239492328766462
2021-01-15,63720435,406624,192702,2680239,1.11,0.0010463833148659453
2021-01-16,63679479,426174,188729,2705618,1.1,3.070062806261339E-4
2021-01-17,63652410,436601,183668,2727321,1.09,1.6381155089021767E-4
2021-01-18,63564825,520450,167590,2747135,1.09,0.0013191100581178348
2021-01-19,63413770,647897,171021,2767312,1.09,0.002009768540807462
2021-01-20,63252950,781933,181861,2783256,1.09,0.0021190474120179373
2021-01-21,63076047,935988,201127,2786838,1.09,0.002442369287980269
2021-01-22,62935241,1053502,204667,2806590,1.08,0.0018672209422380699
2021-01-23,62873629,1091190,204739,2830442,1.08,5.994246013698366E-4
2021-01-24,62845891,1100492,201947,2851670,1.08,1.480128589472938E-4
2021-01-25,62765275,1176868,184916,2872941,1.07,0.0012168511967803853
2021-01-26,62645195,1274862,185596,2894347,1.06,0.0015642700130472896
2021-01-27,62513151,1379990,195870,2910989,1.06,0.0016816941446448604
2021-01-28,62368024,1501347,215904,2914725,1.05,0.0019458208263901386
2021-01-29,62254899,1591614,215154,2938333,1.04,0.0014499581791948615
2021-01-30,62201926,1620195,212762,2965117,1.04,4.5948737986023134E-4
2021-01-31,62177842,1625044,209149,2987965,1.03,7.798598092227131E-5
2021-02-01,62122260,1676279,190204,3011257,1.02,8.247446245516503E-4
2021-02-02,62028899,1746303,189617,3035181,1.01,0.0011288931631689932
