date,S,V,I,R,r0,nouveau_taux_vaccination
2020-12-27,64440297,17,132370,2427316,0.97,2.638100814463968E-7
2020-12-28,64437279,75,119656,2442990,0.96,9.001000802656487E-7
2020-12-29,64425778,181,113486,2460555,0.97,1.6453041513910784E-6
2020-12-30,64399209,293,127144,2473354,0.98,1.7391517961035827E-6
2020-12-31,64379200,375,141274,2479151,1,1.2737033079006885E-6
2021-01-01,64359797,430,148827,2490946,1.03,8.545707501221609E-7
2021-01-02,64356260,501,137364,2505875,1.06,1.103233780210348E-6
2021-01-03,64343684,588,128219,2527509,1.09,1.352114062974697E-6
2021-01-04,64338201,2049,111979,2547771,1.12,2.2708126389794454E-5
2021-01-05,64312380,7381,129375,2550864,1.14,8.290783205348644E-5
2021-01-06,64275767,18615,145932,2559686,1.17,1.7477815550610232E-4
2021-01-07,64225644,47035,164675,2562646,1.18,4.4250237490806634E-4
2021-01-08,64169999,82866,173094,2574041,1.19,5.583761969514757E-4
2021-01-09,64138960,93728,166814,2600498,1.19,1.693510465401996E-4
2021-01-10,64117417,99327,162831,2620425,1.18,8.732416653652782E-5
2021-01-11,64075187,137975,147065,2639773,1.17,6.031664019958303E-4
2021-01-12,63995402,198008,163351,2643239,1.15,9.38083020401997E-4
2021-01-13,63908435,261123,174714,2655728,1.14,9.875848156819988E-4
2021-01-14,63807981,340349,191920,2659750,1.12,0.0012416315131488019
2021-01-15,63719965,407094,192702,2680239,1.11,0.0010474738961328682
2021-01-16,63679002,426651,188729,2705618,1.1,3.071185066625259E-4
2021-01-17,63651930,437081,183668,2727321,1.09,1.6385991752331783E-4
2021-01-18,63564307,520968,167590,2747135,1.09,0.0013197186276254062
2021-01-19,63413192,648475,171021,2767312,1.09,0.0020107330348549555
2021-01-20,63252315,782568,181861,2783256,1.09,0.0021199698382580938
2021-01-21,63075323,936712,201127,2786838,1.09,0.0024438083337282317
2021-01-22,62934436,1054307,204667,2806590,1.08,0.0018685318797486323
2021-01-23,62872808,1092011,204739,2830442,1.08,5.996869107548051E-4
2021-01-24,62845058,1101325,201947,2851670,1.08,1.4820576663323313E-4
2021-01-25,62764414,1177729,184916,2872941,1.07,0.0012173140021668966
